INDEX	virus-genus	sequenceID	sequence_length	locus_name	locus_numeric_id	organism	Class	Superorder	Order	Family	Genus	virus_genus	target_version	target_name	scaffold	extract_start	extract_end	assigned_name	assigned_gene	orientation	bitscore	identity
127319	Amdoparvovirus	Amdo_127319_Ellobius	3367	NK	0	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01006026.1	4462	7828	Aleutian-mink-disease-virus	VP	+	795	74.141
69149	Amdoparvovirus	Amdo_69149_Ellobius	1761	NK	0	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01001077.1	110876	112636	Aleutian-mink-disease-virus	NS	+	854	68.75
3304	Amdoparvovirus	Amdo_3304_Ellobius	519	NK	0	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01006026.1	9520	10038	Aleutian-mink-disease-virus	VP	+	299	77.457
567	Amdoparvovirus	Amdo_567_Procavia	294	amdo.102-procavia	102	Procavia_capensis	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Procavia	Amdoparvovirus	goldenpath_proCap1	proCap1.fa	scaffold_34481	3652	3945	Aleutian-mink-disease-virus	VP	+	77.4	36.449
565	Amdoparvovirus	Amdo_565_Orycteropus	189	amdo.103-orycteropus	103	Orycteropus_afer	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Amdoparvovirus	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00073	9405476	9405664	Aleutian-mink-disease-virus	VP	-	74.3	53.968
69149	Amdoparvovirus	Amdo_69149_Ellobius	1761	NK	0	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01001077.1	110876	112636	Aleutian-mink-disease-virus	NS	+	854	68.75
127319	Amdoparvovirus	Amdo_127319_Ellobius	3367	NK	0	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01006026.1	4462	7828	Aleutian-mink-disease-virus	VP	+	795	74.141
3304	Amdoparvovirus	Amdo_3304_Ellobius	519	NK	0	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01006026.1	9520	10038	Aleutian-mink-disease-virus	VP	+	299	77.457
565	Amdoparvovirus	Amdo_565_Orycteropus	189	amdo.103-orycteropus	103	Orycteropus_afer	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Amdoparvovirus	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00073	9405476	9405664	Aleutian-mink-disease-virus	VP	-	74.3	53.968
567	Amdoparvovirus	Amdo_567_Procavia	294	amdo.102-procavia	102	Procavia_capensis	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Procavia	Amdoparvovirus	goldenpath_proCap1	proCap1.fa	scaffold_34481	3652	3945	Aleutian-mink-disease-virus	VP	+	77.4	36.449
127320	Amdoparvovirus	Amdo_127320_Protobothrops	2564	amdo.101-protobothrops	101	Protobothrops_flavoviridis	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Amdoparvovirus	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01001730.1	1054543	1057106	Aleutian-mink-disease-virus	VP	+	184	40.928
568	Amdoparvovirus	Amdo_568_Protobothrops	552	amdo.101-protobothrops	101	Protobothrops_mucrosquamatus	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Amdoparvovirus	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002152152|ref|NW_015386759.1|	97683	98234	Aleutian-mink-disease-virus	VP	-	126	37.968
127320	Amdoparvovirus	Amdo_127320_Protobothrops	2564	amdo.101-protobothrops	101	Protobothrops_flavoviridis	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Amdoparvovirus	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01001730.1	1054543	1057106	Aleutian-mink-disease-virus	VP	+	184	40.928
568	Amdoparvovirus	Amdo_568_Protobothrops	552	amdo.101-protobothrops	101	Protobothrops_mucrosquamatus	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Amdoparvovirus	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002152152|ref|NW_015386759.1|	97683	98234	Aleutian-mink-disease-virus	VP	-	126	37.968
