record_id	sequenceID	organism	Class	Superorder	Order	Family	Genus	virus_genus	target_version	target_name	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity
214503	Erythro_214503_Indri	Indri_indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri	Erythroparvovirus	IndInd_v1_BIUU	GCA_004363605.1_IndInd_v1_BIUU_genomic.fna	RJWJ010000280.1	121873	123297	1425	Human-parvovirus-B19	NS	+	291	41.147
214316	Erythro_214316_Indri	Indri_indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri	Erythroparvovirus	IndInd_v1_BIUU	GCA_004363605.1_IndInd_v1_BIUU_genomic.fna	RJWJ010000280.1	124597	126126	1530	Human-parvovirus-B19	VP	+	358	40
127842	Erythro_127842_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01280425.1	3	206	204	Human-parvovirus-B19	VP	-	75.5	48.529
127829	Erythro_127829_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01179570.1	1	267	267	Human-erythrovirus-V9	VP	-	68.9	53.846
127830	Erythro_127830_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01120160.1	2	364	363	Human-parvovirus-B19	VP	+	134	54.464
127831	Erythro_127831_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01131080.1	67	381	315	Human-erythrovirus-V9	VP	-	119	52.381
127832	Erythro_127832_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01157949.1	6	299	294	Human-parvovirus-B19	VP	+	72.8	35.714
127833	Erythro_127833_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01209875.1	2	238	237	Human-erythrovirus-V9	VP	+	86.7	53.521
127835	Erythro_127835_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01158965.1	1	291	291	Human-parvovirus-B19	VP	-	107	53.933
127836	Erythro_127836_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01120564.1	80	373	294	Human-parvovirus-B19	VP	-	73.2	35.714
127837	Erythro_127837_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01167541.1	6	299	294	Human-parvovirus-B19	VP	+	72.8	35.714
127840	Erythro_127840_Hyaena	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01120563.1	101	394	294	Human-parvovirus-B19	VP	-	73.2	35.714
127793	Erythro_127793_Dolichotis	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	Erythroparvovirus	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010011861.1	30224	30983	760	Human-erythrovirus-V9	NS	+	151	44.828
69003	Erythro_69003_Giraffa	Giraffa_camelopardalis_tippelskirchi	Mammalia	Laurasiatheria	Unclassified	Giraffidae	Giraffa	Erythroparvovirus	ASM165123v1	GCA_001651235.1_ASM165123v1_genomic.fna	LVKQ01S056239.1	483	1172	690	Human-erythrovirus-V9	NS	-	205	47.788
66903	Erythro_66903_Giraffa	Giraffa_camelopardalis_tippelskirchi	Mammalia	Laurasiatheria	Unclassified	Giraffidae	Giraffa	Erythroparvovirus	ASM165123v1	GCA_001651235.1_ASM165123v1_genomic.fna	LVKQ01S051553.1	20	694	675	Human-parvovirus-B19	VP	+	202	47.321
