sequenceID	locus_numeric_id	source_name	virus_subfamily	virus_genus	host_group_taxlevel	host_group_name	assign_clade	assign_subclade	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	minimum_age_ortho
proto.1-rattus	1	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Rattus	Protoparvovirus	Protoparvovirus	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	no	NK	NK	NK	NK
proto.2-mus_spretus	2	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Mus	Protoparvovirus	Protoparvovirus	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	NK	NK	NK	NK	NK
proto.3-apodemus	3	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Apodemus	Protoparvovirus	Protoparvovirus	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	NK	NK	NK	NK	NK
proto.4-mus_spicilegus	4	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Mus	Protoparvovirus	Protoparvovirus	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	NK	NK	NK	NK	NK
proto.26-cavid	26	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species		Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.27-cavid	27	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species		Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.101-monodelphis	101	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Monodelphis	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.102-tamandua	102	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Mammal/fish	Protoparvovirus	Protoparvovirus	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	Proto-A	NK	NK	NK	NK	NK
proto.103-graphiurus	103	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Myocastor	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.107-Hydrochoerus	107	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species		Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.108-Dinomys	108	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Rodents	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.111-Afrotheria	111	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species		Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.120-cavia	120	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Genus	Cavia	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.121-cavia	121	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Hydrochoerus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.122-cavia	122	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Genus	Cavia	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.125-Hydrochoerus	125	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Hydrochoerus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.126-Octodon	126	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Rodents	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.127-Myocastor	127	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species		Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.128-Capromys	128	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Capromys	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.129-Dinomys	129	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Dinomys	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.130-dinomys	130	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Rodents	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.131-Ctenomys	131	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Rodents	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.132-Ctenomys	132	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Ctenomys	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.133-Dolichotis	133	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Class	Mammalia	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.134-Dolichotis	134	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Dolichotis	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.135-Octomys	135	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Family	Octodontidae	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.136-Octomys	136	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Rodents	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.137-Hydrochoerus	137	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Hydrochoerus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.138-Hydrochoerus	138	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Hydrochoerus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.139-Myocastor	139	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Myocastor	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.140-Myocastor	140	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Myocastor	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.141-Erethizon	141	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Erethizon	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.142-Cuniculus	142	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Erethizon	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.143-Cuniculus	143	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Cuniculus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.150-Gymnobelideus	150	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobellideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.151-Macropus	151	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Macropus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.151-Phascolarctos	151	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.152-Sarcophilus	152	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Sarcophilus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.153-Macropus	153	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Class	Mammalia	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.154-Phascolarctos	154	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.155-Gymnobelideus	155	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobellideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.156-Phascolarctos	156	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobellideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.157-Gymnobelideus	157	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobellideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.158-Macropus	158	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Macropus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.158-Phascolarctos	158	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Diprotodontia	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.159-Vombatus	159	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Vombatus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.160-Macropus	160	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Diprotodontia	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.161-Macropus	161	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Macropus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.162-Gymnobelideus	162	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobellideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
