Record_ID	host_species	host_class	host_superorder	host_order	host_family	host_genus	record_id	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_name	locus_numeric_id	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure	sequence_length
62	Macropus_eugenii	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	27665	Macropus_eugenii	low_coverage	goldenpath_macEug2	macEug2.fa	GL067164	+	37319	41248	dependo.0-macropus-con	0	804	1276	2500	3918	473	991	100	0	1	0	0	NS[dependo.0-macropus(+)]-NS[dependo.0-macropus(+)]-VP[dependo.0-macropus(+)]	3930
242	Lipotes_vexillifer	Mammalia	Laurasiatheria	Cetacea	Lipotidae	Lipotes	27338	Lipotes_vexillifer	low_coverage	ncbi_100_2014-04-27	118797_ref_Lipotes_vexillifer_v1_chrUn.fa	gi|599249724|ref|NW_006783413.1|	+	1818784	1822987	dependo.1-whippomorpha	1	779	1205	2765	4204	480	691	77.083	0	1	5	0	Rep78[dependo.XX-Inia(+)]-NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4204
199	Inia_geoffrensis	Mammalia	Laurasiatheria	Cetacea	Iniidae	Inia	27627	Inia_geoffrensis	low_coverage	IniGeo_v1_BIUU	GCA_004363515.1_IniGeo_v1_BIUU_genomic.fna	RJWO010002031.1	-	86509	90690	dependo.1-whippomorpha	1	779	1013	2685	3392	236	462	93.22	1.31	179	1	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]	4182
203	Orcinus_orca	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Orcinus	27879	Orcinus_orca	low_coverage	ncbi_ANOL02_jan_2013	ANOL02.fasta_13.fa	gi|442705876|gb|ANOL02028540.1|	+	31875	36047	dependo.1-whippomorpha	1	779	1012	2647	3351	235	467	93.617	0	1	1	0	Rep78[dependo.XX-Inia(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4173
141	Tursiops_truncatus	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Tursiops	27580	Tursiops_truncatus	low_coverage	goldenpath_turTru2	turTru2.fa	JH472581	-	124623	128768	dependo.1-whippomorpha	1	779	1012	2636	3340	235	466	93.617	0	1	1	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]	4146
240	Lagenorhynchus_obliquidens	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Lagenorhynchus	27669	Lagenorhynchus_obliquidens	low_coverage	ASM367639v1	GCF_003676395.1_ASM367639v1_genomic.fna	NW_020837951.1	-	35652981	35657093	dependo.1-whippomorpha	1	892	1012	2938	3303	122	239	92.623	0	1	1	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]-Rep78[dependo.XX-Inia(-)]	4113
171	Monodon_monoceros	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Monodon	28053	Monodon_monoceros	low_coverage	NGI_Narwhal_1	GCA_005190385.2_NGI_Narwhal_1_genomic.fna	SIHG01006968.1	+	77665785	77669894	dependo.1-whippomorpha	1	779	1013	2607	3314	236	472	93.644	0	1	1	0	Rep78[dependo.XX-Inia(+)]-NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4110
171	Monodon_monoceros	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Monodon	27983	Monodon_monoceros	low_coverage	MonMon_v1	GCA_004027045.1_MonMon_v1_BIUU_genomic.fna	PVJF01006520.1	-	67783	71892	dependo.1-whippomorpha	1	779	1013	2607	3314	236	472	93.644	0	1	1	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-NS[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]	4110
245	Delphinapterus_leucas	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Delphinapterus	27442	Delphinapterus_leucas	low_coverage	ASM228892v2	GCF_002288925.1_ASM228892v2_genomic.fna	NW_019160921.1	-	9149141	9153246	dependo.1-whippomorpha	1	779	1013	2606	3313	236	476	94.915	0	1	1	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-NS[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]	4106
144	Tursiops_aduncus	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Tursiops	27310	Tursiops_aduncus	low_coverage	ASM322739v1	GCA_003227395.1_ASM322739v1_genomic.fna	NCQN01000043.1	+	1187016	1191115	dependo.1-whippomorpha	1	779	1012	2587	3291	235	467	93.617	0	1	1	0	Rep78[dependo.XX-Inia(+)]-Rep78[dependo.XX-Inia(+)]-VP[dependo.1-whippomorpha(+)]	4100
80	Mesoplodon_bidens	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon	27956	Mesoplodon_bidens	low_coverage	MesBid_v1	GCA_004027085.1_MesBid_v1_BIUU_genomic.fna	PVJJ010002729.1	+	36995	41087	dependo.1-whippomorpha	1	601	1013	1978	3225	429	464	61.072	1.78	143	7	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4093
233	Ziphius_cavirostris	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Ziphius	27929	Ziphius_cavirostris	low_coverage	ZipCav_v1_BIUU	GCA_004364475.1_ZipCav_v1_BIUU_genomic.fna	RJWS010040757.1	+	4474	8537	dependo.1-whippomorpha	1	779	1013	2526	3233	236	473	94.068	0	1	1	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4064
229	Globicephala_melas	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Globicephala	27972	Globicephala_melas	low_coverage	ASM654740v1	GCA_006547405.1_ASM654740v1_genomic.fna	ML658845.1	+	2545456	2549517	dependo.1-whippomorpha	1	779	1012	2556	3260	235	466	93.617	0	1	1	0	Rep78[dependo.XX-Inia(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4062
253	Neophocaena_asiaeorientalis	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Neophocaena	27552	Neophocaena_asiaeorientalis	low_coverage	V1	GCF_003031525.1_Neophocaena_asiaeorientalis_V1_genomic.fna	NW_020175027.1	+	3229818	3233759	dependo.1-whippomorpha	1	162	411	540	1325	272	305	63.603	4.74	139	5	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3942
98	Megaptera_novaeangliae	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Megaptera	28037	Megaptera_novaeangliae	low_coverage	megNov1	GCA_004329385.1_megNov1_genomic.fna	RYZJ01002354.1	+	2659500	2663375	dependo.1-whippomorpha	1	601	1032	1985	3292	444	689	85.811	0	1	5	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3876
107	Eschrichtius_robustus	Mammalia	Laurasiatheria	Cetacea	Eschrichtiidae	Eschrichtius	27966	Eschrichtius_robustus	low_coverage	ASM218922v1	GCA_002189225.1_ASM218922v1_genomic.fna	NIPP01000049.1	+	530460	534318	dependo.1-whippomorpha	1	779	1032	2512	3276	255	528	98.039	0	1	1	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3859
123	Balaenoptera_acutorostrata	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	27600	Balaenoptera_acutorostrata	low_coverage	goldenpath_balAcu1	balAcu1.fa	KI538555	+	2062510	2066364	dependo.1-whippomorpha	1	601	1032	1970	3271	446	691	79.372	0	1	7	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3855
213	Balaenoptera_bonaerensis	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	27314	Balaenoptera_bonaerensis	low_coverage	ASM97880v1	GCA_000978805.1_ASM97880v1_genomic.fna	DF417164.1	+	13355	17208	dependo.1-whippomorpha	1	601	1032	1966	3270	448	655	76.339	0	1	8	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3854
