sequenceID	locus_numeric_id	source_name	seq_type	num_seqs	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	human_chr	minimum_age_ortho	host_group_taxlevel	host_group_name	pubmed_id	insertion_name	insertion_full_name	virus_genus
amdo.1-ellobius	1	fasta-refseqs-epv	reference	1					nk	nk			NK					amdo.1-ellobius	amdo.1-ellobius	Amdoparvovirus
amdo.2-ellobius	2	fasta-refseqs-epv	reference	1					nk	nk			NK					amdo.2-ellobius	amdo.2-ellobius	Amdoparvovirus
erythro.1-indri	1	fasta-refseqs-epv	reference	1					nk	nk			NK					erthryo.1-indri	erthryo.1-indri	Erythroparvovirus
erythro.2-dolichotis	2	fasta-refseqs-epv	reference	1					nk	nk			NK					erthryo.2-dolichotis_patagonum	erthryo.2-dolichotis_patagonum	Erythroparvovirus
proto.1-rattus-con	1	fasta-refseqs-epv	consensus	1					nk	nk			NK					proto.1-rattus	proto.1-rattus	Protoparvovirus
proto.2-apodemus	2	fasta-refseqs-epv	reference	1					nk	nk			NK					proto.2-apodemus	proto.2-apodemus	Protoparvovirus
proto.4-mus_spicilegus	4	fasta-refseqs-epv	reference	1					nk	nk			NK					proto.4-mus_spicilegus	proto.4-mus_spicilegus	Protoparvovirus
proto.3-mus_spretus	3	fasta-refseqs-epv	reference	1					nk	nk			NK					proto.3-mus_spretus	proto.3-mus_spretus	Protoparvovirus
proto.11-monodelphis	11	fasta-refseqs-epv	reference	1					nk	nk			NK		Monodelphis domestica	Monodelphis domestica		proto.11-monodelphis	proto.11-monodelphis	Protoparvovirus
proto.12-monodelphis	12	fasta-refseqs-epv	reference	1					nk	nk			NK		Monodelphis domestica	Monodelphis domestica		proto.12-monodelphis	proto.12-monodelphis	Protoparvovirus
proto.13-monodelphis	13	fasta-refseqs-epv	reference	1					nk	nk			NK		Monodelphis domestica	Monodelphis domestica		proto.13-monodelphis	proto.13-monodelphis	Protoparvovirus
proto.14-tamandua	13	fasta-refseqs-epv	reference	1					nk	nk			NK		Tamandua	Tamandua		proto.14-tamandua	proto.14-tamandua	Protoparvovirus
dependo.0-macropus-con	0	fasta-refseqs-epv			Dependo3	Mammals	Dependo3	Mammals	no	nk?	?	?	NK		species	Macropus eugenii	27377618	dependo.0-macropus	epv-dependo.0-macropus	Dependoparvovirus
dependo.1-whippomorpha-con	1	fasta-refseqs-epv			Dependo2	Lemuria	Dependo4	Dependo4	no	nk?	PAX5	PAX5	NK	62	clade	Whippomorpha		dependo.1-whippomorpha	epv-dependo.1-whippomorpha	Dependoparvovirus
dependo.2-vespertilionidae-con	2	fasta-refseqs-epv			Dependo3	Mammals	Dependo3	Mammals	no	nk	?	KIF6	NK		clade	Rhino-Vesper		dependo.2-rhinovesper-con	epv-dependo.2-rhinovespe	Dependoparvovirus
dependo.3-lagomorpha-con	3	fasta-refseqs-epv			Dependo3	Glires	Dependo3	Mammals	no	Yes	NUP42	GPNMB	NK	51	order	Lagomorpha		dependo.3-lagomorpha	epv-dependo.3-lagomorpha	Dependoparvovirus
dependo.4-rhinocerotidae-con	4	fasta-refseqs-epv			Dependo2	Lemuria	Dependo4	Dependo4	no	nk	CCDC85A	LOC101927213	ch2	27.9	family	Rhinocerotidae		dependo.4-rhinocerotidae	epv-dependo.4-rhinocerotidae	Dependoparvovirus
dependo.5-rhinocerotidae-con	5	fasta-refseqs-epv			NULL	NULL	Dependo3	Dependoparvovirus-B	no	nk?	USP38	USP38	NK	27.9	family	Rhinocerotidae		dependo.5-rhinocerotidae	epv-dependo.5-rhinocerotidae	Dependoparvovirus
dependo.6-elephantidae-con	6	fasta-refseqs-epv			Dependo3	Mammals	NULL	NULL	Rep	Yes	PIK3C3	CELF4	NK		species	Afrotheria		dependo.6-elephantidae	epv-dependo.6-elephantidae	Dependoparvovirus
dependo.7-bradypus	7	fasta-refseqs-epv			Dependo3	Mammals	NULL	NULL	no	nk	?	?	NK		species	Bradypus		dependo.7-bradypus	epv-dependo.7-bradypus	Dependoparvovirus
dependo.8-dasypus	8	fasta-refseqs-epv			NULL	NULL	Dependo3	Mammals	no	nk	PRR14L	KCNH8	NK		species	Dasypus		dependo.8-dasypus	epv-dependo.8-dasypus	Dependoparvovirus
dependo.9-procavia	9	fasta-refseqs-epv			Dependo3	Glires	NULL	NULL	no	nk	NK	NK	NK		clade	Diprotodontia		dependo.8-dasypus	epv-dependo.8-dasypus	Dependoparvovirus
dependo.10-diprotodontia-con	10	fasta-refseqs-epv			Dependo1	Sauria	NULL	NULL	no	nk	TPD52	TPD52	NK		clade	Diprotodontia		dependo.10-diprotodontia	epv-dependo.10-diprotodontia	Dependoparvovirus
dependo.11-manis-con	11	fasta-refseqs-epv			Dependo3	Mammals	NULL	NULL	no	nk	NK	NK	NK		genus	Manis		dependo.11-manis	epv-dependo.11-manis	Dependoparvovirus
dependo.12-orycteropus	12	fasta-refseqs-epv			Dependo3	Mammals	Dependo3	Mammals	no	nk	NK	NK	NK		species	Orycteropus		dependo.12-orycteropus	epv-dependo.12-orycteropus	Dependoparvovirus
dependo.13-cercopithecidae-con	13	fasta-refseqs-epv			Dependo3	Dependoparvovirus-A	Dependo3	Mammals	Rep	nk	HUNK	MIS18A	NK	19.4	family	Cercopithecidae		dependo.13-cercopithecidae	epv-dependo.13-cercopithecidae	Dependoparvovirus
dependo.14-cercopithecidae-con	14	fasta-refseqs-epv			Dependo3	Dependoparvovirus-A	NULL	NULL	no	nk	KRT6A	KRT6A	NK	19.4	family	Cercopithecidae		dependo.14-cercopithecidae	epv-dependo.14-cercopithecidae	Dependoparvovirus
dependo.15-colobus	15	fasta-refseqs-epv			Dependo3	Dependoparvovirus-A	NULL	NULL	no	nk	ENSCAN	GAP43	NK	19.4	species	Colobus		dependo.15-cercopithecidae	epv-dependo.15-cercopithecidae	Dependoparvovirus
dependo.16-canid-con	16	fasta-refseqs-epv			NULL	NULL	Dependo4	Dependo4	no	nk	SPATS2L	MAIP1	NK		family	Canidae		dependo.16-canid	epv-dependo.16-canid	Dependoparvovirus
dependo.17-carnivore-con	17	fasta-refseqs-epv			Dependo1	Sauria	NULL	NULL	no	nk	NK	NK	NK		clade	pinniped-mustelid		dependo.17-carnivore	epv-dependo.17-carnivore-con	Dependoparvovirus
dependo.20-laurasiatheria-con	20	fasta-refseqs-epv			Dependo1	Sauria	NULL	NULL	no	nk	GGT5	GGT5	NK		superorder	Laurasiatheria		dependo.20-laurasiatheria	epv-dependo.20-laurasiatheria-con	Dependoparvovirus
dependo.22-laurasiatheria-con	22	fasta-refseqs-epv			Dependo1	Sauria	NULL	NULL	no	nk	PCDH19  	DIAPH2	NK	62	superorder	Laurasiatheria		dependo.22-laurasiatheria	epv-dependo.22-laurasiatheria	Dependoparvovirus
