taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_DEPENDO_ROOT_NS/member/ncbi-refseqs-dependo/AF028704	AF028704	AAV6	Adeno-associated virus 6	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/ncbi-refseqs-dependo/AF028705	AF028705	AAV3B	Adeno-associated virus 3B	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/ncbi-refseqs-dependo/AX753250	AX753250	AAV9	Adeno-associated virus 9	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/ncbi-refseqs-dependo/AY631966	AY631966	AAV11	Adeno-associated virus 11	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-C	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.0-macropus	dependo.0-macropus	dependo.0-macropus	dependo.0-macropus	Parvovirinae	Dependoparvovirus	Dependo4	NK	Dependo4	NK	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.1-whippomorpha	dependo.1-whippomorpha	dependo.1-whippomorpha	dependo.1-whippomorpha	Parvovirinae	Dependoparvovirus	Dependo2	Lemuria	Dependo2	Lemuria	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.13-cercopithecidae	dependo.13-cercopithecidae	dependo.13-cercopithecidae	dependo.13-cercopithecidae	Parvovirinae	Dependoparvovirus	Dependo3	Dependo_A	Dependo3	Dependo_A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.14-cercopithecidae	dependo.14-cercopithecidae	dependo.14-cercopithecidae	dependo.14-cercopithecidae	Parvovirinae	Dependoparvovirus	Dependo3	Dependo_A	NULL	NULL	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.160-gymnobelideus	dependo.160-gymnobelideus	dependo.160-gymnobelideus	dependo.160-gymnobelideus	Parvovirinae	Dependoparvovirus	Dependo4	NK	Dependo4	NK	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.174-PipPip	dependo.174-PipPip	dependo.174-Pipistrellus-pipistrellus	dependo.174-Pipistrellus-pipistrellus	Parvovirinae	Dependoparvovirus	Dependo3	NK	Dependo3	NK	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.180-rhinolophus	dependo.180-rhinolophus	dependo.180-Rhinolophus-sinicus	dependo.180-Rhinolophus-sinicus	Parvovirinae	Dependoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.2-vespertilionidae	dependo.2-vespertilionidae	dependo.2-vespertilionidae	dependo.2-vespertilionidae	Parvovirinae	Dependoparvovirus	Dependo3	NK	Dependo3	NK	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_NS/member/fasta-refseqs-dependo-epv/dependo.27-eulemur	dependo.27-eulemur	dependo.27-eulemur	dependo.27-eulemur	Parvovirinae	Dependoparvovirus	Dependo3	NK	NULL	NULL	-	-	-	-
