taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AF028704	AF028704	AAV6	Adeno-associated virus 6	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AF028705	AF028705	AAV3B	Adeno-associated virus 3B	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AX753250	AX753250	AAV9	Adeno-associated virus 9	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AY631966	AY631966	AAV11	Adeno-associated virus 11	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-C	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/DQ813647	DQ813647	AAV12	Adeno-associated virus 12	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-C	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/FJ688147	FJ688147	AAVpo1	Adeno-associated virus Po1	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-B	Dependo3	Porcine	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/LY408697	LY408697	AAV10	Adeno-associated virus 11	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/MF416383	MF416383	Mouse-AAV1	Mouse adeno associated virus 1	Parvovirinae	Dependoparvovirus	Dependo3	Rodent	Dependo3	Rodent	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs/NC_001401	NC_001401	AAV2	Adeno-associated virus 2	Parvovirinae	Dependoparvovirus	Dependo3	Dependo-A	Dependo3	Dependo-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_001729	NC_001729	AAV3	Adeno-associated virus 3	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_001829	NC_001829	AAV4	Adeno-associated virus 4	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-C	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_002077	NC_002077	AAV1	Adeno-associated virus 1	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006147	NC_006147	MDPV	Muscovy duck parvovirus	Parvovirinae	Dependoparvovirus	Dependo2	Galloanserae	Dependo2	Galloanserae	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006148	NC_006148	SnakePV	Snake parvovirus 1	Parvovirinae	Dependoparvovirus	Dependo1	Sauria	Dependo1	Sauria	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006152	NC_006152	AAV5	Adeno-associated virus 5	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-B	Dependo3	Dependoparvovirus-B	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006260	NC_006260	AAV7	Adeno-associated virus 7	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006261	NC_006261	AAV8	Adeno-associated virus 8	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_014468	NC_014468	AAV-bat	Bat adeno-associated virus YNM	Parvovirinae	Dependoparvovirus	Dependo3	Chiroptera	Dependo3	Chiroptera	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_027429	NC_027429	BdrPV	Bearded dragon parvovirus strain 2014	Parvovirinae	Dependoparvovirus	Dependo1	Sauria	Dependo1	Sauria	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_038539	NC_038539	AAV-sealion	California sea lion adeno-associated virus 1	Parvovirinae	Dependoparvovirus	Dependo3	Carnivore	Dependo3	Carnivore	-	-	-	-
