taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/AY622943	AY622943	HumanPV4	Human_parvovirus_4_G1	-	Tetraparvovirus	NK	NK	NK	NK	-	Homo sapiens	-	USA
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/EU200669	EU200669	BovineHoko1	Bovine_hokovirus_1	-	Tetraparvovirus	NK	NK	NK	NK	-	-	-	China
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/EU200677	EU200677	PorcineHoko1	Porcine_hokovirus	-	Tetraparvovirus	NK	NK	NK	NK	-	-	-	China
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/GU938300	GU938300	PorcineTetraPV	Porcine_Cn	-	Tetraparvovirus	NK	NK	NK	NK	CnPPV_JH13	Sus scrofa	-	China: Southeast China
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/HQ113143	HQ113143	CHhimpPV4	Chimpanzee_parvovirus_4	-	Tetraparvovirus	NK	NK	NK	NK	PT-P48	Pan troglodytes	-	Cameroon
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/JF504699	JF504699	OvineHoko1	Ovine_hokovirus_1	-	Tetraparvovirus	NK	NK	NK	NK	-	sheep	-	China
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/MG745669	MG745669	RodentTetraPV	Rodent_tetraparvovirus	-	Tetraparvovirus	NK	NK	NK	NK	1135	Bolomys lasiurus	-	Brazil
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/MG745671	MG745671	DdPV	Didelphimorphs_tetraparvovirus	-	Tetraparvovirus	NK	NK	NK	NK	4113	Didelphis albiventris	-	Brazil
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs/NC_016744	NC_016744	EhBtPV1	Eidolon helvum parvovirus 1	Parvovirinae	Tetraparvovirus	not-set	not-set	not-set	not-set	-	Eidolon helvum	-	Ghana
alignment/AL_UNC_TETRA_ROOT_NS/member/ncbi-refseqs-tetra/NC_031670	NC_031670	DeerTetraPV	Deer_tetraparvovirus 	-	Tetraparvovirus	NK	NK	NK	NK	tetra-CA1	deer	-	USA
