taxon	sequenceID	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/AF221122	AF221122	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Macaca mulatta	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/AF221123	AF221123	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Macaca nemestrina	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/AF321230	AF321230	Parvovirinae	Protoparvovirus	-	-	-	-	-	Rattus norvegicus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/AF406967	AF406967	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/amdo.1-ellobius	amdo.1-ellobius	-	Amdoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/amdo.2-ellobius	amdo.2-ellobius	-	Amdoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/AY622943	AY622943	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Homo sapiens	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/D00623	D00623	Parvovirinae	Protoparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.0-macropus-con	dependo.0-macropus-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.1-whippomorpha-con	dependo.1-whippomorpha-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.12-orycteropus	dependo.12-orycteropus	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.13-cercopithecidae-con	dependo.13-cercopithecidae-con	-	-	-	-	-	-	-	-	-	-
