accession-ID	virus_subfamily	virus_genus	clade	length	virus_name	virus_full_name	host_species	host_common_name	virus_clade
AY530553	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530554	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530555	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530556	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530557	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530558	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530559	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530560	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530561	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530562	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530563	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530564	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530565	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530566	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530567	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530568	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530569	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530570	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530571	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530572	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530573	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530574	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530575	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530576	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530577	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530578	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530580	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530581	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530582	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530583	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530584	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530585	Parvovirinae	Dependoparvovirus	-	2209	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530586	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530587	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530588	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530589	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530590	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530591	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530592	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530593	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
