taxon	sequenceID	name	full_name	pubmed_id	clade_ns	subclade_ns	clade_vp	subclade_vp	host_sci_name	isolate	country	country_iso	collection_year
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AF028704	AF028704	AAV6	AAV6	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AF028705	AF028705	AAV3B	AAV3B	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AX753250	AX753250	AAV9	AAV9	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/AY631966	AY631966	AAV11	AAV11	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-C	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/DQ813647	DQ813647	AAV12	AAV12	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-C	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/FJ688147	FJ688147	AAVpo1	AAVpo1	-	Dependo3	Dependoparvovirus-B	Dependo3	Porcine	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/LY408697	LY408697	AAV10	AAV10	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/MF416383	MF416383	Mouse-AAV1	Mouse-AAV1	-	Dependo3	Rodent	Dependo3	Rodent	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs/NC_001401	NC_001401	AAV2	AAV2	-	Dependo3	Dependo-A	Dependo3	Dependo-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_001729	NC_001729	AAV3	AAV3	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_001829	NC_001829	AAV4	AAV4	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-C	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_002077	NC_002077	AAV1	AAV1	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006147	NC_006147	MDPV	MDPV	-	Dependo2	Galloanserae	Dependo2	Galloanserae	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006148	NC_006148	SnakePV	SnakePV	-	Dependo1	Sauria	Dependo1	Sauria	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006152	NC_006152	AAV5	AAV5	-	Dependo3	Dependoparvovirus-B	Dependo3	Dependoparvovirus-B	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006260	NC_006260	AAV7	AAV7	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_006261	NC_006261	AAV8	AAV8	-	Dependo3	Dependoparvovirus-A	Dependo3	Dependoparvovirus-A	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_014468	NC_014468	AAV-bat	AAV-bat	-	Dependo3	Chiroptera	Dependo3	Chiroptera	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_027429	NC_027429	BdrPV	BdrPV	-	Dependo1	Sauria	Dependo1	Sauria	-	-	-	-	-
alignment/AL_UNC_DEPENDO_ROOT_VP/member/ncbi-refseqs-dependo/NC_038539	NC_038539	AAV-sealion	AAV-sealion	-	Dependo3	Carnivore	Dependo3	Carnivore	-	-	-	-	-
