accession-ID	length	lab_construct	virus_name	virus_full_name	host_species	host_common_name	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	virus_subfamily	virus_genus
AY530553	2196	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530554	2196	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530555	2196	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530557	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530558	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530560	2211	FALSE	AAV-8	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530561	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530562	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530563	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530564	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530565	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530566	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530567	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530568	2214	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530569	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530570	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530571	2208	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530572	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530573	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
