sequenceID	name	full_name	subfamily	clade	genus	subgenus	host_sci_name	host_common_name
NC_001867	WDSV	Walleye dermal sarcoma virus	Orthoretrovirinae	Clade I	Epsilonretrovirus		Sander vitreus	Walleye fish
AF133051	WEHV-1	Walleye epidermal hyperplasia virus type 1	Orthoretrovirinae	Clade I	Epsilonretrovirus		Sander vitreus	Walleye fish
AF133052	WEHV-2	Walleye epidermal hyperplasia virus type 2	Orthoretrovirinae	Clade I	Epsilonretrovirus		Sander vitreus	Walleye fish
NC_001940	FeLV	Feline leukemia virus	Orthoretrovirinae	Clade I	Gammaretrovirus	MLV-FeLV	Felis catus	Domestic cat
NC_001885	GaLV	Gibbon ape leukemia virus	Orthoretrovirinae	Clade I	Gammaretrovirus	GaLV-MDEV	Hylobatidae	Gibbons
NC_039228 	KoRV	Koala retrovirus	Orthoretrovirinae	Clade I	Gammaretrovirus		Phascolarctos cinereus	Koala bear
NC_001501	MLV	Murine leukemia virus	Orthoretrovirinae	Clade I	Gammaretrovirus	MLV-FeLV	Mus musculus	Domestic mouse
NC_006934	REV	Reticuloendotheliosis virus	Orthoretrovirinae	Clade I	Gammaretrovirus		Gallus gallus	Domestic chicken
JQ303225	RfRV	Rhinolophus ferrumequinum retrovirus	Orthoretrovirinae	Clade I	Gammaretrovirus		Rhinolophus ferrumequinum	Greater horseshoe bat
NC_007654	SSSV	Salmon swimbladder sarcoma virus	Orthoretrovirinae	Clade I	Xi		Salmo salar	Atlantic salmon
NC_001408	ALV	Avian leukosis virus	Orthoretrovirinae	Clade II	Alpharetrovirus		Gallus gallus	Domestic chicken
HQ900844	ALV-J	Avian leukosis virus subgroup J	Orthoretrovirinae	Clade II	Alpharetrovirus		Gallus gallus	Domestic chicken
AF033808	RSV	Rouse sarcoma virus	Orthoretrovirinae	Clade II	Alpharetrovirus		Gallus gallus	Domestic chicken
U09568	LPDV	Lymphoproliferative disease virus	Orthoretrovirinae	Clade II	B3		Meleagris gallopavo	Turkey
NC_001494	JSRV	Jaagsiekte retrovirus	Orthoretrovirinae	Clade II	Betaretrovirus	Type-D2	Ovis aries	Domestic sheep
NC_001503	MMTV	Mouse mammary tumor virus	Orthoretrovirinae	Clade II	Betaretrovirus	Type-B	Mus musculus	Domestic mouse
NC_001514	SMRV-H	Squirrel monkey retrovirus	Orthoretrovirinae	Clade II	Betaretrovirus	Type-D1	Saimiri	Squirrel monkeys
M11841	SRV-1	Simian retrovirus 1	Orthoretrovirinae	Clade II	Betaretrovirus	Type-D1	Macaca	Non-human primates
AF126467	SRV-2	Simian retrovirus 2	Orthoretrovirinae	Clade II	Betaretrovirus	Type-D1	Macaca	Non-human primates
NC_001550	SRV-3	Simian retrovirus 3 (Mason-Pfizer monkey virus)	Orthoretrovirinae	Clade II	Betaretrovirus	Type-D1	Macaca mulatta	Rhesus macaque
NC_014474	SRV-4	Simian retrovirus 4	Orthoretrovirinae	Clade II	Betaretrovirus	Type-D1	Macaca fascicularis	Crab-eating macaque
NC_001414	BLV	Bovine leukemia virus	Orthoretrovirinae	Clade II	Deltaretrovirus	Ungulate	Bos taurus	Domestic cow
NC_001436	HTLV-1	Human T-lymphotropic virus 1	Orthoretrovirinae	Clade II	Deltaretrovirus	Primate	Homo sapiens	Human
AF033817	HTLV-1	Human T-lymphotropic virus 1	Orthoretrovirinae	Clade II	Deltaretrovirus	Primate	Homo sapiens	Human
NC_001488	HTLV-2	Human T-lymphotropic virus 2	Orthoretrovirinae	Clade II	Deltaretrovirus	Primate	Homo sapiens	Human
DQ093792	HTLV-3	Human T-lymphotropic virus 3	Orthoretrovirinae	Clade II	Deltaretrovirus	Primate	Homo sapiens	Human
EF488483	HTLV-4	Human T-lymphotropic virus 4	Orthoretrovirinae	Clade II	Deltaretrovirus	Primate	Homo sapiens	Human
M32690	BIV 	Bovine immunodeficiency virus	Orthoretrovirinae	Clade II	Lentivirus	Non-primate	Bos taurus	Domestic cow
AF016316	EIAV 	Equine infectious anemia virus America strain	Orthoretrovirinae	Clade II	Lentivirus	Non-primate	Equus caballus	Domestic horse
EF455613	FIV.Pco 	Feline immunodeficiency virus	Orthoretrovirinae	Clade II	Lentivirus	Non-primate	Puma concolor	Cougar
AF033819	HIV-1M 	Human immunodeficiency virus 1 (Main group)	Orthoretrovirinae	Clade II	Lentivirus	Primate	Homo sapiens	Human
U21603	JDV 	Jembrana disease virus	Orthoretrovirinae	Clade II	Lentivirus	Non-primate	Bos javanicus domesticus	Balinese cattle
U04005	SIVagm.sab-1 	Simian immunodeficiency virus	Orthoretrovirinae	Clade II	Lentivirus	Primate	Cercopithecus sabaeus	African green monkey, sabaeus
U58991	SIVagm.tan-1 	Simian immunodeficiency virus	Orthoretrovirinae	Clade II	Lentivirus	Primate	Cercopithecus tantalus	African green monkey, tantalus
X52154	SIVcpz 	Chimpanzee immunodeficieny virus	Orthoretrovirinae	Clade II	Lentivirus	Primate	Pan troglodytes	Common chimpanzee
AF188116	SIVlhoest 	Simian immunodeficiency virus	Orthoretrovirinae	Clade II	Lentivirus	Primate	Cercopithecus lhoesti	L'Hoest's monkey
M27470	SIVmnd 	Simian immunodeficiency virus (Mandrillus sphinx)	Orthoretrovirinae	Clade II	Lentivirus	Primate	Mandrillus sphinx	Mandrill
X14307	SIVsmm 	Simian immunodeficiency virus	Orthoretrovirinae	Clade II	Lentivirus	Primate	Cercocebus atys	Sooty mangabey monkey
L06042	SIVsykes 	Simian immunodeficiency virus	Orthoretrovirinae	Clade II	Lentivirus	Primate	Cercopithecus albogularis	Sykes' monkey
M60609	SRLV-A 	Small ruminant lentivirus genotype A (Visna-Maedi Virus)	Orthoretrovirinae	Clade II	Lentivirus	Non-primate	Ovis aries	Sheep
M33677	SRLV-B 	Small ruminant lentivirus genotype B (Caprine arthritis-encephalitis virus)	Orthoretrovirinae	Clade II	Lentivirus	Non-primate	Capra aegagrus hircus	Goats
U26458	SnRV	Snakehead retrovirus	Orthoretrovirinae	Clade III	Omega		Ophicephalus striatus	Striped snakehead
U94514	BFV	Bovine foamy virus	Spumavirinae	Mammalian	Spumavirus	Bovine	Bos taurus	Domestic cow
AF201902	EFV	Equine foamy virus	Spumavirinae	Mammalian	Spumavirus	Equine	Equus caballus	Domestic horse
Y08851	FFV	Feline foamy virus	Spumavirinae	Mammalian	Spumavirus	Carnivore	Felis catus	Domestic cat
NC_039023	PSFVgal	Brown greater galago prosimian foamy virus	Spumavirinae	Mammalian	Spumavirus	Primate	Otolemur crassicaudatus	Brown greater galago
X54482	SFV-1	Simian foamy virus 1 (macaque)	Spumavirinae	Mammalian	Spumavirus	Primate	Macaca	Macaques
M74895	SFV-3	Simian foamy virus 3 (grivet)	Spumavirinae	Mammalian	Spumavirus	Primate	Chlorocebus aethiops	Grivet
NC_001364	SFVcpz	Simian foamy virus (chimpanzee)	Spumavirinae	Mammalian	Spumavirus	Primate	Pan troglodytes	Chimpanzee
AJ544579	SFVora	Simian foamy virus (orangutan)	Spumavirinae	Mammalian	Spumavirus	Primate	Pongo pygmaeus	Orangutan
EU010385	SFVspi	Simian foamy virus (spider monkey)	Spumavirinae	Mammalian	Spumavirus	Primate	Simia paniscus	Spider monkeys
GU356394	SFVsqu	Simian foamy virus (squirrel monkey)	Spumavirinae	Mammalian	Spumavirus	Primate	Saimiri	Squirrel monkeys
