referenceName	featureName	startNT	endNT
REF_CPV	5UTR	1	130
REF_CPV	NS	130	465
REF_CPV	VP	466	969
REF_MVM1	NS	114	2279
REF_MVM1	VP	2399	4555
REF_PPV	NS	292	2280
REF_PPV	VP	2388	4547
REF_MpBuV	NS	63	1982
REF_MpBuV	VP	2247	4403
REF_AMDV	NS	206	1978
REF_AMDV	VP	2406	4349
REF_ChPV	NS	411	2495
REF_ChPV	VP	2998	5025
REF_BPV	NS	740	2920
REF_BPV	M	2661	3302
REF_BPV	VP	3286	5307
REF_PBoV	NS	149	2260
REF_PBoV	M	2333	3019
REF_PBoV	VP	3003	5120
REF_CMV	NS	429	2579
REF_CMV	M	2389	2949
REF_CMV	VP	2933	5044
REF_AAV1	NS	335	2206
REF_AAV1	VP	2223	4433
REF_AAV2	NS	321	2252
REF_AAV2	VP	2203	4410
REF_AAV3	NS	318	2192
REF_AAV3	VP	2209	4419
REF_AAV4	NS	372	2243
REF_AAV4	VP	2260	4464
REF_AAV5	NS	359	2191
REF_AAV5	VP	2207	4381
REF_AAV6	NS	320	2191
REF_AAV6	VP	2208	4418
REF_AAV7	NS	334	2205
REF_AAV7	VP	2222	4435
REF_AAV8	NS	227	2104
REF_AAV8	VP	2121	4337
REF_AAV9	NS	228	2099
REF_AAV9	VP	2116	4329
REF_AAV10	NS	1	1869
REF_AAV10	VP	1886	4102
REF_AAV11	NS	1	1869
REF_AAV11	VP	1886	4087
REF_AAV12	NS	103	1968
REF_AAV12	VP	1985	4213
REF_SnakePV	NS	324	2012
REF_SnakePV	VP	2030	4210
REF_CAV	NS	347	2179
REF_CAV	VP	2195	4375
REF_GPV	NS	537	2420
REF_GPV	VP	2439	4637
REF_MDPV	NS	548	2431
REF_MDPV	VP	2450	4648
REF_B19	NS	616	2631
REF_B19	VP	2624	4969
REF_BPV2	NS	306	1919
REF_BPV2	VP	2268	5384
REF_HamsterPV	NS	122	2140
REF_HamsterPV	VP	2664	4427
REF_Mk-PV	NS2-P	2110	2727
REF_Mk-PV	NS	811	2790
REF_Mk-PV	NS2-L	2006	2725
REF_Mk-PV	VP	2783	4273
REF_FCDNV	NS1	62	1345
REF_FCDNV	NS2	1330	3066
REF_FCDNV	CP	3493	4800
REF_Zsana	NS	1	1833
REF_Zsana	M	1883	2272
REF_Zsana	VP	2668	4281
REF_PfDNV	ORF5	202	930
REF_PfDNV	VP	965	2689
REF_PfDNV	ORF7	969	1466
REF_PfDNV	NS	2719	4335
REF_BdrPV	AAP	2594	3127
REF_BdrPV	NS	386	2083
REF_BdrPV	VP	2101	4278
