sequenceID	virus_name	virus_full_name	host_species	assign_clade	virus_subfamily	virus_genus	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp
MF682925	Rol-BtBoV1	Rousettus leschenaultii bocaparvovirus 1	Rousettus leschenaultii	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
JN420361	Zac-PnBov1	California sea lion bocavirus 1	Zalophus californianus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MF682923	Rp-BtBoV2	Rhinolophus pusillus bocaparvovirus 2	Rhinolophus pusillus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
JF429835	Sus-ArtBoV4-1	Porcine bocavirus 4-1	Sus scrofa	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MF682922	Rp-BtBoV1	Rhinolophus pusillus bocaparvovirus 1	Rhinolophus pusillus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
NC_004442	CanFam-CarBV1	Canine minute virus	Canis familiaris	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MN871711	Sq-Bv	Squirrel bocaparvovirus	Callosciurus phayrei	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
NC_040533	Lup-Bv	Lupine bocavirus	Canis lupus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
NC_055487	Mur-Bv	Murine bocavirus	Mus musculus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MN091929	Pri-Bv-3	Primate bocaparvovirus 3	Macaca mulatta	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MT150090	Rabbit-Bv	Rabbit bocavirus	Oryctolagus cuniculus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MG905225	Rat-Bv	Rat bocavirus	Rattus norvegicus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
NC_035185	Cam-Bv-1	Dromedary camel bocaparvovirus 1	Camelus dromedarius	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
NC_035186	Cam-Bv-2	Dromedary camel bocaparvovirus 2	Camelus dromedarius	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MW824450	ElaCepBv	Elaphodus cephalophus bocavirus	Elaphodus cephalophus	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MK513525	Devil-BV-1	Tasmanian devil-associated bocavirus 1	Sarcophilus harrisii	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
MF464269	Marmot-BV	Himalayan marmot bocaparvovirus 2	Marmota himalayana	NK	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	NK
