referenceName	featureName	startNT	endNT
REF_Proto_HamsterPV	whole_genome	1	4773
REF_Proto_HamsterPV	Rep78	122	2140
REF_Proto_HamsterPV	VP1	2664	4427
REF_Proto_MpBuV	Rep78	63	1982
REF_Proto_MpBuV	VP1	2247	4403
REF_Proto_MVM1	whole_genome	1	5149
REF_Proto_MVM1	Rep78	114	2279
REF_Proto_MVM1	VP1	2399	4555
REF_Proto_PPV	whole_genome	1	5075
REF_Proto_PPV	Rep78	292	2280
REF_Proto_PPV	VP1	2388	4547
REF_Proto_Zsana	whole_genome	1	4281
REF_Proto_Zsana	Rep78	1	1833
REF_Proto_Zsana	M	1883	2272
REF_Proto_Zsana	VP1	2668	4281
