referenceName	featureName	startNT	endNT
REF_AAV3a	Rep78	318	2192
REF_AAV3a	VP1	2209	4419
REF_AAV3b	Rep78	317	2191
REF_AAV3b	VP1	2208	4418
REF_AAV4	Rep78	372	2243
REF_AAV4	VP1	2260	4464
REF_AAV5	Rep78	359	2191
REF_AAV5	VP1	2207	4381
REF_AAV6	Rep78	320	2191
REF_AAV6	VP1	2208	4418
REF_AAV7	Rep78	334	2205
REF_AAV7	VP1	2222	4435
REF_AAV8	Rep78	227	2104
REF_AAV8	VP1	2121	4337
REF_AAV9	Rep78	228	2099
REF_AAV9	VP1	2116	4329
REF_AAV10	Rep78	1	1869
REF_AAV10	VP1	1886	4102
REF_AAV11	Rep78	1	1869
REF_AAV11	VP1	1886	4087
REF_AAV12	Rep78	103	1968
REF_AAV12	VP1	1985	4213
REF_SnakePV	Rep78	324	2012
REF_SnakePV	VP1	2030	4210
REF_CAV	Rep78	347	2179
REF_CAV	VP1	2195	4375
REF_GPV	Rep78	537	2420
REF_GPV	VP1	2439	4637
REF_MDPV	Rep78	548	2431
REF_MDPV	VP1	2450	4648
REF_AAV1	Rep78	335	2206
REF_AAV1	VP1	2223	4433
REF_Mouse-AAV1	whole_genome	1	4339
REF_Mouse-AAV1	Rep78	314	2032
REF_Mouse-AAV1	VP1	2049	4280
REF_PorcinePV	whole_genome	1	2977
REF_PorcinePV	Rep78	3	764
REF_PorcinePV	VP1	1188	2930
REF_AAV-bat	whole_genome	1	4286
REF_AAV-bat	Rep78	200	2041
REF_AAV-bat	VP1	2059	4233
REF_SealionPV	whole_genome	1	4395
REF_SealionPV	Rep78	291	2093
REF_SealionPV	VP1	2124	4280
REF_MAAV	whole_genome	1	3472
REF_MAAV	Rep78	1	1287
REF_MAAV	VP1	1298	3472
