sequenceID	subfamily	genus	clade	length	name	full_name	host_sci_name	host_common_name	virus_subfamily	virus_genus
AY530553	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530554	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530555	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530556	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530557	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530558	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530559	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530560	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530561	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530562	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530563	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530564	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530565	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530566	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530567	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530568	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530569	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530570	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530571	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530572	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530573	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530574	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530575	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530576	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530577	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530578	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530580	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530581	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530582	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530583	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530584	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530585	Parvovirinae	Dependovirus	-	2209	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530586	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530587	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530588	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530589	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530590	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530591	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530592	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530593	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530594	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530595	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530596	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530597	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530598	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530599	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530600	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530601	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530602	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530603	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530604	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530605	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530606	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530607	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530608	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530609	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530610	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530611	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530612	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530613	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530614	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530615	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530616	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530617	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530618	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530619	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530620	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530621	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530622	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530623	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530624	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530625	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530626	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530627	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530628	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY530629	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY695370	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY695376	Parvovirinae	Dependovirus	-	4430	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY695377	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
AY695378	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
