taxon	sequenceID	name	locus_name	locus_numeric_id	scaffold	start_position	end_position	host_sci_name	host_class	host_superorder	host_order	host_family	host_genus
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Cavia_aperea-Dependo-60	Cavia_aperea-Dependo-60	Cavia_aperea-Dependo-60	dependo.54-cavidae	54	AVPZ01000289.1	10616751	10618195	Cavia_aperea	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Cavia_aperea-Dependo-61	Cavia_aperea-Dependo-61	Cavia_aperea-Dependo-61	dependo.54-cavidae	54	AVPZ01000211.1	20591520	20592092	Cavia_aperea	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Cavia_porcellus-Dependo-62	Cavia_porcellus-Dependo-62	Cavia_porcellus-Dependo-62	dependo.54-cavidae	54	scaffold_28	20602822	20603415	Cavia_porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Cavia_porcellus-Dependo-63	Cavia_porcellus-Dependo-63	Cavia_porcellus-Dependo-63	dependo.54-cavidae	54	scaffold_35	10623727	10625138	Cavia_porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Cavia_tschudii-Dependo-66	Cavia_tschudii-Dependo-66	Cavia_tschudii-Dependo-66	dependo.54-cavidae	54	PVKK010015625.1	16236	16783	Cavia_tschudii	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Chinchilla_lanigera-Dependo-75	Chinchilla_lanigera-Dependo-75	Chinchilla_lanigera-Dependo-75	dependo.54-cavidae	54	scaffold00012	22702389	22702709	Chinchilla_lanigera	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Chinchilla_lanigera-Dependo-76	Chinchilla_lanigera-Dependo-76	Chinchilla_lanigera-Dependo-76	dependo.54-cavidae	54	scaffold00012	22669255	22669584	Chinchilla_lanigera	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Dolichotis_patagonum-Dependo-110	Dolichotis_patagonum-Dependo-110	Dolichotis_patagonum-Dependo-110	dependo.54-cavidae	54	PVJX010073744.1	4266	4577	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Dolichotis_patagonum-Dependo-111	Dolichotis_patagonum-Dependo-111	Dolichotis_patagonum-Dependo-111	dependo.54-cavidae	54	PVJX010071470.1	4197	4511	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis
alignment/AL_EPV-DEPENDO-54-cavidae/member/fasta-digs-dependo-epv/Petromus_typicus-Dependo-284	Petromus_typicus-Dependo-284	Petromus_typicus-Dependo-284	dependo.54-cavidae	54	PVIR01059760.1	5326	5808	Petromus_typicus	Mammalia	Euarchontoglires	Rodentia	Petromuridae	Petromus
