taxon	sequenceID	name	locus_name	locus_numeric_id	scaffold	start_position	end_position	host_sci_name	host_class	host_superorder	host_order	host_family	host_genus
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Ammotragus_lervia-Dependo-25	Ammotragus_lervia-Dependo-25	Ammotragus_lervia-Dependo-25	dependo.22-laurasiatheria	22	NIVO01011144.1	204621	204845	Ammotragus_lervia	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ammotragus
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Arctocephalus_gazella-Dependo-34	Arctocephalus_gazella-Dependo-34	Arctocephalus_gazella-Dependo-34	dependo.22-laurasiatheria	22	UIRR01000299.1	2684739	2685233	Arctocephalus_gazella	Mammalia	Laurasiatheria	Carnivora	Otariidae	Arctocephalus
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Balaenoptera_acutorostrata-Dependo-35	Balaenoptera_acutorostrata-Dependo-35	Balaenoptera_acutorostrata-Dependo-35	dependo.22-laurasiatheria	22	KI537885	431629	431754	Balaenoptera_acutorostrata	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Balaenoptera_bonaerensis-Dependo-38	Balaenoptera_bonaerensis-Dependo-38	Balaenoptera_bonaerensis-Dependo-38	dependo.22-laurasiatheria	22	DF452723.1	7544	7657	Balaenoptera_bonaerensis	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Beatragus_hunteri-Dependo-40	Beatragus_hunteri-Dependo-40	Beatragus_hunteri-Dependo-40	dependo.22-laurasiatheria	22	PVKQ01008691.1	23801	24172	Beatragus_hunteri	Mammalia	Laurasiatheria	Unclassified	Bovidae	Beatragus
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Bison_bison-Dependo-41	Bison_bison-Dependo-41	Bison_bison-Dependo-41	dependo.22-laurasiatheria	22	gi|735092080|ref|NW_011491709.1|	5911	6078	Bison_bison	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bison
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Bos_mutus-Dependo-42	Bos_mutus-Dependo-42	Bos_mutus-Dependo-42	dependo.22-laurasiatheria	22	gi|550708216|ref|NW_005394564.1|	954079	954246	Bos_mutus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Bos_taurus-Dependo-43	Bos_taurus-Dependo-43	Bos_taurus-Dependo-43	dependo.22-laurasiatheria	22	chrUn_JH121315	733715	733882	Bos_taurus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Bubalus_bubalis-Dependo-45	Bubalus_bubalis-Dependo-45	Bubalus_bubalis-Dependo-45	dependo.22-laurasiatheria	22	gi|551721726|ref|NW_005784554.1|	486074	486241	Bubalus_bubalis	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bubalus
alignment/AL_EPV-22-laurasiatheria/member/fasta-digs-dependo-epv/Callorhinus_ursinus-Dependo-48	Callorhinus_ursinus-Dependo-48	Callorhinus_ursinus-Dependo-48	dependo.22-laurasiatheria	22	KZ836204.1	4004815	4005159	Callorhinus_ursinus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Callorhinus
