taxon	sequenceID	name	locus_name	locus_numeric_id	scaffold	start_position	end_position	host_sci_name	host_class	host_superorder	host_order	host_family	host_genus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Aepyceros_melampus	dependo.22-Aepyceros_melampus	dependo.22-Aepyceros_melampus	dependo.22-laurasiatheria	22	SJXQ01002947.1	82464	82787	Aepyceros_melampus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Aepyceros
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Alcelaphus_buselaphus	dependo.22-Alcelaphus_buselaphus	dependo.22-Alcelaphus_buselaphus	dependo.22-laurasiatheria	22	SJXN01491378.1	1012	1182	Alcelaphus_buselaphus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Alcelaphus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Ammotragus_lervia	dependo.22-Ammotragus_lervia	dependo.22-Ammotragus_lervia	dependo.22-laurasiatheria	22	NIVO01011144.1	204624	204845	Ammotragus_lervia	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ammotragus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Antrozous_pallidus	dependo.22-Antrozous_pallidus	dependo.22-Antrozous_pallidus	dependo.22-laurasiatheria	22	VMDP01019295.1	22878	23174	Antrozous_pallidus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Antrozous
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Arctocephalus_gazella	dependo.22-Arctocephalus_gazella	dependo.22-Arctocephalus_gazella	dependo.22-laurasiatheria	22	UIRR01000299.1	2684790	2685233	Arctocephalus_gazella	Mammalia	Laurasiatheria	Carnivora	Otariidae	Arctocephalus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Beatragus_hunteri	dependo.22-Beatragus_hunteri	dependo.22-Beatragus_hunteri	dependo.22-laurasiatheria	22	PVKQ01008691.1	23765	24172	Beatragus_hunteri	Mammalia	Laurasiatheria	Unclassified	Bovidae	Beatragus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Callorhinus_ursinus	dependo.22-Callorhinus_ursinus	dependo.22-Callorhinus_ursinus	dependo.22-laurasiatheria	22	KZ836204.1	4004860	4005159	Callorhinus_ursinus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Callorhinus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Capra_sibirica	dependo.22-Capra_sibirica	dependo.22-Capra_sibirica	dependo.22-laurasiatheria	22	NIYN01029184.1	37137730	37137954	Capra_sibirica	Mammalia	Laurasiatheria	Unclassified	Bovidae	Capra
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Ceratotherium_simum	dependo.22-Ceratotherium_simum	dependo.22-Ceratotherium_simum	dependo.22-laurasiatheria	22	JH767823	3032479	3032649	Ceratotherium_simum	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Ceratotherium_simum_cottoni	dependo.22-Ceratotherium_simum_cottoni	dependo.22-Ceratotherium_simum_cottoni	dependo.22-laurasiatheria	22	PVLE01016141.1	16356	16526	Ceratotherium_simum_cottoni	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Cervus_elaphus_hippelaphus	dependo.22-Cervus_elaphus_hippelaphus	dependo.22-Cervus_elaphus_hippelaphus	dependo.22-laurasiatheria	22	CM008041.1	61072656	61073381	Cervus_elaphus_hippelaphus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Cervus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Connochaetes_taurinus	dependo.22-Connochaetes_taurinus	dependo.22-Connochaetes_taurinus	dependo.22-laurasiatheria	22	SJXO01010655.1	26786	26950	Connochaetes_taurinus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Connochaetes
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Crocuta_crocuta	dependo.22-Crocuta_crocuta	dependo.22-Crocuta_crocuta	dependo.22-laurasiatheria	22	VOAJ01000557.1	17263	17577	Crocuta_crocuta	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Crocuta
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Damaliscus_lunatus	dependo.22-Damaliscus_lunatus	dependo.22-Damaliscus_lunatus	dependo.22-laurasiatheria	22	SJXP01001987.1	441689	441853	Damaliscus_lunatus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Damaliscus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Desmodus_rotundus	dependo.22-Desmodus_rotundus	dependo.22-Desmodus_rotundus	dependo.22-laurasiatheria	22	KZ672546.1	4429115	4429471	Desmodus_rotundus	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Dicerorhinus_sumatrensis_sumatrensis	dependo.22-Dicerorhinus_sumatrensis_sumatrensis	dependo.22-Dicerorhinus_sumatrensis_sumatrensis	dependo.22-laurasiatheria	22	PEKH010005789.1	184790	185230	Dicerorhinus_sumatrensis_sumatrensis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Dicerorhinus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Diceros_bicornis	dependo.22-Diceros_bicornis	dependo.22-Diceros_bicornis	dependo.22-laurasiatheria	22	PVJY010002153.1	50633	51349	Diceros_bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Eonycteris_spelaea	dependo.22-Eonycteris_spelaea	dependo.22-Eonycteris_spelaea	dependo.22-laurasiatheria	22	PUFA01000452.1	241222	241683	Eonycteris_spelaea	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Eonycteris
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Eptesicus_fuscus	dependo.22-Eptesicus_fuscus	dependo.22-Eptesicus_fuscus	dependo.22-laurasiatheria	22	gi|411115864|gb|JH977699.1|	1476841	1477491	Eptesicus_fuscus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_africanus_asinus	dependo.22-Equus_africanus_asinus	dependo.22-Equus_africanus_asinus	dependo.22-laurasiatheria	22	scaffold41305	25182	25379	Equus_africanus_asinus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_asinus_somalicus	dependo.22-Equus_asinus_somalicus	dependo.22-Equus_asinus_somalicus	dependo.22-laurasiatheria	22	scaffold41305	25182	25379	Equus_asinus_somalicus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_burchellii_boehmi	dependo.22-Equus_burchellii_boehmi	dependo.22-Equus_burchellii_boehmi	dependo.22-laurasiatheria	22	chrX	77091065	77091262	Equus_burchellii_boehmi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_caballus	dependo.22-Equus_caballus	dependo.22-Equus_caballus	dependo.22-laurasiatheria	22	chrX	77091065	77091265	Equus_caballus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_grevyi	dependo.22-Equus_grevyi	dependo.22-Equus_grevyi	dependo.22-laurasiatheria	22	chrX	77091065	77091262	Equus_grevyi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_hemionus	dependo.22-Equus_hemionus	dependo.22-Equus_hemionus	dependo.22-laurasiatheria	22	scaffold41305	25182	25379	Equus_hemionus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_kiang	dependo.22-Equus_kiang	dependo.22-Equus_kiang	dependo.22-laurasiatheria	22	scaffold41305	25182	25379	Equus_kiang	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Equus_zebra_hartmannae	dependo.22-Equus_zebra_hartmannae	dependo.22-Equus_zebra_hartmannae	dependo.22-laurasiatheria	22	chrX	77091065	77091262	Equus_zebra_hartmannae	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Eschrichtius_robustus	dependo.22-Eschrichtius_robustus	dependo.22-Eschrichtius_robustus	dependo.22-laurasiatheria	22	NIPP01010917.1	13764	13892	Eschrichtius_robustus	Mammalia	Laurasiatheria	Cetacea	Eschrichtiidae	Eschrichtius
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Halichoerus_grypus	dependo.22-Halichoerus_grypus	dependo.22-Halichoerus_grypus	dependo.22-laurasiatheria	22	JAAXOB010006714.1	50170	50469	Halichoerus_grypus	Mammalia	Laurasiatheria	Carnivora	Phocidae	Halichoerus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Hemitragus_hylocrius	dependo.22-Hemitragus_hylocrius	dependo.22-Hemitragus_hylocrius	dependo.22-laurasiatheria	22	PVJR01009705.1	62740	62904	Hemitragus_hylocrius	Mammalia	Laurasiatheria	Unclassified	Bovidae	Hemitragus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Hippopotamus_amphibius	dependo.22-Hippopotamus_amphibius	dependo.22-Hippopotamus_amphibius	dependo.22-laurasiatheria	22	NKPW01114987.1	280	606	Hippopotamus_amphibius	Mammalia	Laurasiatheria	Unclassified	Hippopotamidae	Hippopotamus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Hipposideros_armiger	dependo.22-Hipposideros_armiger	dependo.22-Hipposideros_armiger	dependo.22-laurasiatheria	22	NW_017731406.1	178515	178742	Hipposideros_armiger	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Hipposideros_galeritus	dependo.22-Hipposideros_galeritus	dependo.22-Hipposideros_galeritus	dependo.22-laurasiatheria	22	PVLB01002856.1	80953	81621	Hipposideros_galeritus	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Hyaena_hyaena	dependo.22-Hyaena_hyaena	dependo.22-Hyaena_hyaena	dependo.22-laurasiatheria	22	PITC01014848.1	19711	20025	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Kobus_ellipsiprymnus	dependo.22-Kobus_ellipsiprymnus	dependo.22-Kobus_ellipsiprymnus	dependo.22-laurasiatheria	22	SJYR01003115.1	140474	141103	Kobus_ellipsiprymnus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Kobus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Leptonychotes_weddellii	dependo.22-Leptonychotes_weddellii	dependo.22-Leptonychotes_weddellii	dependo.22-laurasiatheria	22	gi|472269955|gb|KB714734.1|	2752124	2752423	Leptonychotes_weddellii	Mammalia	Laurasiatheria	Carnivora	Phocidae	Leptonychotes
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Macroglossus_sobrinus	dependo.22-Macroglossus_sobrinus	dependo.22-Macroglossus_sobrinus	dependo.22-laurasiatheria	22	PVKZ01000594.1	614298	614591	Macroglossus_sobrinus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Macroglossus
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Manis_javanica	dependo.22-Manis_javanica	dependo.22-Manis_javanica	dependo.22-laurasiatheria	22	NW_016535211.1	19833	20303	Manis_javanica	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Manis_pentadactyla	dependo.22-Manis_pentadactyla	dependo.22-Manis_pentadactyla	dependo.22-laurasiatheria	22	KN010458.1	73706	74176	Manis_pentadactyla	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Manis_tricuspis	dependo.22-Manis_tricuspis	dependo.22-Manis_tricuspis	dependo.22-laurasiatheria	22	SOZM010031246.1	4574	5047	Manis_tricuspis	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Martes_zibellina	dependo.22-Martes_zibellina	dependo.22-Martes_zibellina	dependo.22-laurasiatheria	22	RDFD01006970.1	3295844	3296152	Martes_zibellina	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Martes
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Megaderma_lyra	dependo.22-Megaderma_lyra	dependo.22-Megaderma_lyra	dependo.22-laurasiatheria	22	PVJL010010532.1	5277	5651	Megaderma_lyra	Mammalia	Laurasiatheria	Chiroptera	Megadermatidae	Megaderma
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Megaptera_novaeangliae	dependo.22-Megaptera_novaeangliae	dependo.22-Megaptera_novaeangliae	dependo.22-laurasiatheria	22	RYZJ01000791.1	4416262	4416390	Megaptera_novaeangliae	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Megaptera
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Mesoplodon_bidens	dependo.22-Mesoplodon_bidens	dependo.22-Mesoplodon_bidens	dependo.22-laurasiatheria	22	PVJJ010017366.1	38727	38987	Mesoplodon_bidens	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon
alignment/AL_EPV-DEPENDO-22-laurasiatheria/member/fasta-digs-dependo-epv/dependo.22-Mirounga_angustirostris	dependo.22-Mirounga_angustirostris	dependo.22-Mirounga_angustirostris	dependo.22-laurasiatheria	22	PITE01006080.1	48683	48982	Mirounga_angustirostris	Mammalia	Laurasiatheria	Carnivora	Phocidae	Mirounga
