taxon	sequenceID	name	locus_numeric_id	scaffold	num_species	nearest_upstream_orf	nearest_downstream_orf
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Balaenoptera_acutorostrata	dependo.1-Balaenoptera_acutorostrata	dependo.1-Balaenoptera_acutorostrata	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Balaenoptera_bonaerensis	dependo.1-Balaenoptera_bonaerensis	dependo.1-Balaenoptera_bonaerensis	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Delphinapterus_leucas	dependo.1-Delphinapterus_leucas	dependo.1-Delphinapterus_leucas	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Eschrichtius_robustus	dependo.1-Eschrichtius_robustus	dependo.1-Eschrichtius_robustus	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Globicephala_melas	dependo.1-Globicephala_melas	dependo.1-Globicephala_melas	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Hippopotamus_amphibius	dependo.1-Hippopotamus_amphibius	dependo.1-Hippopotamus_amphibius	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Inia_geoffrensis	dependo.1-Inia_geoffrensis	dependo.1-Inia_geoffrensis	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Kogia_breviceps	dependo.1-Kogia_breviceps	dependo.1-Kogia_breviceps	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Lagenorhynchus_obliquidens	dependo.1-Lagenorhynchus_obliquidens	dependo.1-Lagenorhynchus_obliquidens	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Lipotes_vexillifer	dependo.1-Lipotes_vexillifer	dependo.1-Lipotes_vexillifer	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Megaptera_novaeangliae	dependo.1-Megaptera_novaeangliae	dependo.1-Megaptera_novaeangliae	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Mesoplodon_bidens	dependo.1-Mesoplodon_bidens	dependo.1-Mesoplodon_bidens	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Monodon_monoceros	dependo.1-Monodon_monoceros	dependo.1-Monodon_monoceros	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Neophocaena_asiaeorientalis	dependo.1-Neophocaena_asiaeorientalis	dependo.1-Neophocaena_asiaeorientalis	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Orcinus_orca	dependo.1-Orcinus_orca	dependo.1-Orcinus_orca	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Phocoena_phocoena	dependo.1-Phocoena_phocoena	dependo.1-Phocoena_phocoena	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Physeter_catodon	dependo.1-Physeter_catodon	dependo.1-Physeter_catodon	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Platanista_minor	dependo.1-Platanista_minor	dependo.1-Platanista_minor	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Sousa_chinensis	dependo.1-Sousa_chinensis	dependo.1-Sousa_chinensis	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Tursiops_aduncus	dependo.1-Tursiops_aduncus	dependo.1-Tursiops_aduncus	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Tursiops_truncatus	dependo.1-Tursiops_truncatus	dependo.1-Tursiops_truncatus	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/fasta-digs-dependo-epv/dependo.1-Ziphius_cavirostris	dependo.1-Ziphius_cavirostris	dependo.1-Ziphius_cavirostris	-	-	-	-	-
