taxon	sequenceID	name	locus_name	locus_numeric_id	scaffold	start_position	end_position	host_sci_name	host_class	host_superorder	host_order	host_family	host_genus
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Anoura_caudifer-Dependo-26	Anoura_caudifer-Dependo-26	Anoura_caudifer-Dependo-26	dependo.30-chiroptera	30	PVKU01001227.1	314400	315434	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Anoura_caudifer-Dependo-27	Anoura_caudifer-Dependo-27	Anoura_caudifer-Dependo-27	dependo.30-chiroptera	30	PVKU01007968.1	73669	73962	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Anoura_caudifer-Dependo-28	Anoura_caudifer-Dependo-28	Anoura_caudifer-Dependo-28	dependo.30-chiroptera	30	PVKU01002692.1	191749	192294	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Carollia_perspicillata-Dependo-57	Carollia_perspicillata-Dependo-57	Carollia_perspicillata-Dependo-57	dependo.30-chiroptera	30	PVKM010009701.1	31160	31480	Carollia_perspicillata	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Carollia
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Carollia_perspicillata-Dependo-58	Carollia_perspicillata-Dependo-58	Carollia_perspicillata-Dependo-58	dependo.30-chiroptera	30	PVKM010047255.1	10356	10961	Carollia_perspicillata	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Carollia
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Desmodus_rotundus-Dependo-100	Desmodus_rotundus-Dependo-100	Desmodus_rotundus-Dependo-100	dependo.30-chiroptera	30	KZ672090.1	28484884	28486454	Desmodus_rotundus	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Mormoops_blainvillei-Dependo-220	Mormoops_blainvillei-Dependo-220	Mormoops_blainvillei-Dependo-220	dependo.30-chiroptera	30	PVJD01001646.1	229200	229496	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Mormoops_blainvillei-Dependo-221	Mormoops_blainvillei-Dependo-221	Mormoops_blainvillei-Dependo-221	dependo.30-chiroptera	30	PVJD01000288.1	296937	297608	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Mormoops_blainvillei-Dependo-222	Mormoops_blainvillei-Dependo-222	Mormoops_blainvillei-Dependo-222	dependo.30-chiroptera	30	PVJD01000213.1	74429	74746	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Pteronotus_parnellii-Dependo-312	Pteronotus_parnellii-Dependo-312	Pteronotus_parnellii-Dependo-312	dependo.30-chiroptera	30	gi|539840960|gb|AWGZ01225077.1|	3898	4317	Pteronotus_parnellii	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Pteronotus
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Tonatia_saurophila-Dependo-348	Tonatia_saurophila-Dependo-348	Tonatia_saurophila-Dependo-348	dependo.30-chiroptera	30	PVIA01007828.1	31078	31554	Tonatia_saurophila	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Tonatia
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Tonatia_saurophila-Dependo-349	Tonatia_saurophila-Dependo-349	Tonatia_saurophila-Dependo-349	dependo.30-chiroptera	30	PVIA01004114.1	122996	123691	Tonatia_saurophila	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Tonatia
alignment/AL_EPV-30-chiroptera/member/fasta-digs-dependo-epv/Tonatia_saurophila-Dependo-350	Tonatia_saurophila-Dependo-350	Tonatia_saurophila-Dependo-350	dependo.30-chiroptera	30	PVIA01000230.1	72971	73434	Tonatia_saurophila	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Tonatia
