record_id	sequenceID	organism	Class	Superorder	Order	Family	Genus	virus_genus	target_version	target_name	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity
127320	Protobothrops_flavoviridis_Amdo_127320	Protobothrops_flavoviridis	Unclassified	Lepidosauria	Squamata	Viperidae	Protobothrops	Amdoparvovirus	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01001730.1	1054543	1057106	2564	Aleutian-mink-disease-virus	VP	+	184	40.928
127319	Ellobius_lutescens_Amdo_127319	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01006026.1	4462	7828	3367	Aleutian-mink-disease-virus	VP	+	795	74.141
69149	Ellobius_lutescens_Amdo_69149	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01001077.1	110876	112636	1761	Aleutian-mink-disease-virus	NS	+	854	68.75
3304	Ellobius_lutescens_Amdo_3304	Ellobius_lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius	Amdoparvovirus	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01006026.1	9520	10038	519	Aleutian-mink-disease-virus	VP	+	299	77.457
568	Protobothrops_mucrosquamatus_Amdo_568	Protobothrops_mucrosquamatus	Unclassified	Lepidosauria	Squamata	Viperidae	Protobothrops	Amdoparvovirus	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002152152|ref|NW_015386759.1|	97683	98234	552	Aleutian-mink-disease-virus	VP	-	126	37.968
567	Procavia_capensis_Amdo_567	Procavia_capensis	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Procavia	Amdoparvovirus	goldenpath_proCap1	proCap1.fa	scaffold_34481	3652	3945	294	Aleutian-mink-disease-virus	VP	+	77.4	36.449
565	Orycteropus_afer_Amdo_565	Orycteropus_afer	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Amdoparvovirus	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00073	9405476	9405664	189	Aleutian-mink-disease-virus	VP	-	74.3	53.968
66794	Pteronotus_parnellii_Boca_66794	Pteronotus_parnellii	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Pteronotus	Bocaparvovirus	ncbi_AWGZ00000000.1_2015-05	AWGZ01.2.fsa_nt.fa	gi|539829657|gb|AWGZ01236380.1|	1233	1439	207	Bovine-parvovirus	VP	+	84.7	70.69
833	Takifugu_rubripes_Boca_833	Takifugu_rubripes	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Bocaparvovirus	FUGU4	Takifugu_rubripes.FUGU4.dna.nonchromosomal.fa	scaffold_2074	18719	18898	180	Canine-bocavirus-1	NS1	+	62	46.667
128335	Hydrochoerus_hydrochaeris_Bufa_128335	Hydrochoerus_hydrochaeris	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	Bufavirus	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01030930.1	1415	2827	1413	Bufavirus-3	NS	+	317	35.941
69167	Phascolarctos_cinereus_Bufa_69167	Phascolarctos_cinereus	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	Bufavirus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00056	8162107	8163053	947	Bufavirus-3	VP	-	97.1	36.058
66379	Phascolarctos_cinereus_Bufa_66379	Phascolarctos_cinereus	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	Bufavirus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00062	3785034	3786548	1515	Bufavirus-3	VP	+	319	35.514
578	Trichechus_manatus_Bufa_578	Trichechus_manatus	Mammalia	Afrotheria	Sirenia	Trichechidae	Trichechus	Bufavirus	goldenpath_triMan1	triMan1.fa_2.fa	JH594625	3921196	3921567	372	Bufavirus-3	VP	-	121	44.715
