accession-ID	virus_name	virus_full_name	virus_subfamily	virus_genus	host_species
Cebus_imitator.1	Cebus_imitator.1	Cebus_imitator.1	Chapparvovirinae	Chapparvovirus	Cebus imitator
KX907333	ChPV.DesRot	Vampire bat chapparvovirus	Chapparvovirinae	Chapparvovirus	Desmodus rotundus
Giraffa_tippelskirchi.1	Giraffa_tippelskirchi.1	Giraffa_tippelskirchi.1	Chapparvovirinae	Chapparvovirus	Giraffa tippelskirchi
Mesitornis_unicolor.1	Mesitornis_unicolor.1	Mesitornis_unicolor.1	Chapparvovirinae	Chapparvovirus	Mesitornis unicolor
MH670587	Mk-PV	Mouse kidney parvovirus	Chapparvovirinae	Chapparvovirus	Mus musculus
Myotis_davidii.1	Myotis_davidii.1	Myotis_davidii.1	Chapparvovirinae	Chapparvovirus	Myotis davidii
Protobothrops_mucrosquamatus.1	Protobothrops_mucrosquamatus.1	Protobothrops_mucrosquamatus.1	Chapparvovirinae	Chapparvovirus	Protobothrops mucrosquamatus
Serinus_canaria.1	Serinus_canaria.1	Serinus_canaria.1	Chapparvovirinae	Chapparvovirus	Serinus canaria
NC_004284	JcDNV	Junonia coenia densovirus	Densovirinae	Ambidensovirus	Junonia coenia
NC_000936	PfDNV	Periplaneta fuliginosa densovirus	Densovirinae	Ambidensovirus	Periplaneta fuliginosa
NC_004285	AalDNV-2	Aedes albopictus densovirus 2	Densovirinae	Brevidensovirus	Aedes albopictus
NC_014357	FCDNV	Fenneropenaeus chinensis hepatopancreatic densovirus	Densovirinae	Hepandensovirus	
NC_004287	BmDNV-5	Bombyx mori densovirus 5	Densovirinae	Iteradensovirus	Bombyx mori
NC_002190	IHHN	Infectious hypodermal and hematopoietic necrosis virus	Densovirinae	Penstyldensovirus	
NC_031450	PmDNV-JL	Parus major densovirus	Densovirinae	Unclassified-1	Parus major (likely contaminant)
NC_015718	HaDNV	Helicoverpa armigera densovirus	Densovirinae	Unclassified-2	Helicoverpa armigera
NC_001662	AMDV	Aleutian mink disease virus	Parvovirinae	Amdoparvovirus	Neovison vison
KJ396352	ArcFox-Amdo-PV	Arctic fox amdovirus	Parvovirinae	Amdoparvovirus	Vulpes lagopus
JN202450	GF-AmdoPV	Gray fox amdovirus	Parvovirinae	Amdoparvovirus	Urocyon cinereoargenteus
NC_025825	RaccoonDog-AmdoPV	Raccoon dog amdovirus	Parvovirinae	Amdoparvovirus	
NC_034445	SK-AmdoPV	Skunk amdoparvovirus	Parvovirinae	Amdoparvovirus	
NC_024452	ChPV	Chicken parvovirus ABU-P1	Parvovirinae	Aveparvovirus	Gallus gallus
NC_031695	BatBoca-PV-1	Rhinolophus sinicus bat bocaparvovirus	Parvovirinae	Bocaparvovirus	
NC_012042	Boca-PV-2c	Human bocavirus 2c	Parvovirinae	Bocaparvovirus	Homo sapiens
NC_001540	BPV	Bovine parvovirus	Parvovirinae	Bocaparvovirus	Bos taurus
NC_020499	CanineBocaPV-1	Canine bocavirus 1	Parvovirinae	Bocaparvovirus	Canis familiaris
NC_004442	CMV	Canine minute virus	Parvovirinae	Bocaparvovirus	Canis familiaris
JN420361	Csl-Boca-PV-1	California sea lion bocavirus 1	Parvovirinae	Bocaparvovirus	Zalophus californianus
NC_024453	PBoV	Porcine bocavirus	Parvovirinae	Bocaparvovirus	Sus scrofa
JF429835	Prc-Boca-PV-4-1	Porcine bocavirus 4-1	Parvovirinae	Bocaparvovirus	Sus scrofa
MF682925	Rl-BocaPV-1	Rousettus leschenaultii bocaparvovirus 1	Parvovirinae	Bocaparvovirus	Rousettus leschenaultii
MF682922	Rp-Boca-PV-1	Rhinolophus pusillus bocaparvovirus 1	Parvovirinae	Bocaparvovirus	Rhinolophus pusillus
MF682923	Rp-Boca-PV-2	Rhinolophus pusillus bocaparvovirus 2	Parvovirinae	Bocaparvovirus	Rhinolophus pusillus
NC_029797	Bufa-PV-1	Megabat bufavirus 1	Parvovirinae	Bufavirus	
NC_006259	BPV2	Bovine parvovirus 2	Parvovirinae	Copiparvovirus	Bos taurus
MG972981	Ungulate-Copi-PV-1	Ungulate copiparvovirus 1	Parvovirinae	Copiparvovirus	
NC_002077	AAV1	Adeno-associated virus 1	Parvovirinae	Dependoparvovirus	Homo sapiens
LY408697	AAV10	Adeno-associated virus 11	Parvovirinae	Dependoparvovirus	Homo sapiens
AY631966	AAV11	Adeno-associated virus 11	Parvovirinae	Dependoparvovirus	Homo sapiens
DQ813647	AAV12	Adeno-associated virus 12	Parvovirinae	Dependoparvovirus	Homo sapiens
NC_001401	AAV2	Adeno-associated virus 2	Parvovirinae	Dependoparvovirus	Homo sapiens
NC_001729	AAV3	Adeno-associated virus 3	Parvovirinae	Dependoparvovirus	Homo sapiens
AF028705	AAV3B	Adeno-associated virus 3B	Parvovirinae	Dependoparvovirus	Homo sapiens
DI393763	AAV4	Adeno-associated virus 4	Parvovirinae	Dependoparvovirus	Homo sapiens
NC_001829	AAV4	Adeno-associated virus 4	Parvovirinae	Dependoparvovirus	Homo sapiens
AF085716	AAV5	Adeno-associated virus 5	Parvovirinae	Dependoparvovirus	Homo sapiens
NC_006152	AAV5	Adeno-associated virus 5	Parvovirinae	Dependoparvovirus	Homo sapiens
AF028704	AAV6	Adeno-associated virus 6	Parvovirinae	Dependoparvovirus	Homo sapiens
NC_006260	AAV7	Adeno-associated virus 7	Parvovirinae	Dependoparvovirus	Homo sapiens
NC_006261	AAV8	Adeno-associated virus 8	Parvovirinae	Dependoparvovirus	Homo sapiens
AX753250	AAV9	Adeno-associated virus 9	Parvovirinae	Dependoparvovirus	Homo sapiens
