taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/ncbi-refseqs-proto/AF321230	AF321230	KilhamRat	Kilham rat virus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/ncbi-refseqs-proto/D00623	D00623	PPV	Porcine parvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/ncbi-refseqs-proto/JX505432	JX505432	H1	H-1 parvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/ncbi-refseqs-proto/KJ495710	KJ495710	TuV	Primate protoparvovirus 4	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/ncbi-refseqs-proto/KJ641666	KJ641666	BtHp-PV	Bat parvovirus isolate BtHp-PV/GD2012	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/ncbi-refseqs-proto/NC_001510	NC_001510	MVM	Rodent protoparvovirus 1	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/ncbi-refseqs/NC_001539	NC_001539	CPV	Carnivore protoparvovirus	Parvovirinae	Protoparvovirus	Proto1	not-set	Proto1	Proto1	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.1-RatNor	proto.1-RatNor	proto.1-RatNor	proto.1-RatNor	Parvovirinae	Protoparvovirus	Proto1	Proto1	Proto1	Proto1	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.101-MonDom	proto.101-MonDom	proto.101-MonDom	proto.101-MonDom	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.102-tamandua	proto.102-tamandua	proto.102-tamandua	proto.102-tamandua	Parvovirinae	Protoparvovirus	Proto1	Proto1	Proto1	Proto1	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.120-Cavia	proto.120-Cavia	proto.120-cavia	proto.120-cavia	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.121-cavia	proto.121-cavia	proto.121-cavia	proto.121-cavia	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.122-cavia	proto.122-cavia	proto.122-cavia	proto.122-cavia	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.125-HydHyd	proto.125-HydHyd	proto.125-HydHyd	proto.125-HydHyd	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.128-Capromys	proto.128-Capromys	proto.128-Capromys	proto.128-Capromys	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.129-Dinomys	proto.129-Dinomys	proto.129-Dinomys	proto.129-Dinomys	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-digs-proto-epv/proto.131-Ctenomys_sociabilis	proto.131-Ctenomys_sociabilis	proto.131-Ctenomys_sociabilis	proto.131-Ctenomys_sociabilis	Parvovirinae	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.132-Ctenomys	proto.132-Ctenomys	proto.132-Ctenomys	proto.132-Ctenomys	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.133-Dolichotis	proto.133-Dolichotis	proto.133-Dolichotis	proto.133-Dolichotis	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.134-Dolichotis	proto.134-Dolichotis	proto.134-Dolichotis	proto.134-Dolichotis	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.136-Octomys	proto.136-Octomys	proto.136-Octomys	proto.136-Octomys	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.139-MyoCoy	proto.139-MyoCoy	proto.139-MyoCoy	proto.139-MyoCoy	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.140-MyoCoy	proto.140-MyoCoy	proto.140-MyoCoy	proto.140-MyoCoy	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.141-Erethizon	proto.141-Erethizon	proto.141-Erethizon	proto.141-Erethizon	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.142-Cuniculus	proto.142-Cuniculus	proto.142-Cuniculus	proto.142-Cuniculus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.143-Cuniculus	proto.143-Cuniculus	proto.143-Cuniculus	proto.143-Cuniculus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.150-Gymnobelideus	proto.150-Gymnobelideus	proto.150-Gymnobelideus	proto.150-Gymnobelideus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-digs-proto-epv/proto.151-Phascolarctos_cinereus	proto.151-Phascolarctos_cinereus	proto.151-Phascolarctos_cinereus	proto.151-Phascolarctos_cinereus	Parvovirinae	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.152-Sarcophilus	proto.152-Sarcophilus	proto.152-Sarcophilus	proto.152-Sarcophilus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_VP/member/fasta-refseqs-proto-epv/proto.153-Macropus	proto.153-Macropus	proto.153-Macropus	proto.153-Macropus	Parvovirinae	Protoparvovirus	Proto2	Proto2	Proto2	Proto2	-	-	-	-
