organism,Species,target_version,Class,Superorder,Order,Family,Genus
Acanthisitta_chloris,Acanthisitta chloris,bgi_2011-10-28,Aves,Neognathae,Passeriformes,Acanthisittidae,Acanthisitta
Acinonyx_jubatus,Acinonyx jubatus,aciJub1,Mammalia,Laurasiatheria,Carnivora,Felidae,Acinonyx
Ailuropoda_melanoleuca,Ailuropoda melanoleuca,goldenpath_ailMel1,Mammalia,Laurasiatheria,Carnivora,Ursidae,Ailuropoda
Alligator_mississippiensis,Alligator mississippiensis,goldenpath_allMis1_2012,Unclassified,Unclassified,Crocodylia,Alligatoridae,Alligator
Alligator_sinensis,Alligator sinensis,ASM45574v1,Unclassified,Unclassified,Crocodylia,Alligatoridae,Alligator
Ambystoma_mexicanum,Ambystoma mexicanum,sung-2015,Amphibia,Batrachia,Caudata,Ambystomatidae,Ambystoma
Anas_platyrhynchos,Anas platyrhynchos,ensembl_79_BGI_duck_1.0,Aves,Neognathae,Anseriformes,Anatidae,Anas
Anolis_carolinensis,Anolis carolinensis,ensembl_79_AnoCar2.0,Unclassified,Lepidosauria,Squamata,Iguanidae,Anolis
Antrostomus_carolinensis,Antrostomus carolinensis,bgi_2011-10-28,Aves,Neognathae,Caprimulgiformes,Caprimulgidae,Caprimulgus
Aotus_nancymaae,Aotus nancymaae,ncbi_1.0_April_2015,Mammalia,Euarchontoglires,Primates,Aotidae,Aotus
Apaloderma_vittatum,Apaloderma vittatum,bgi_2011-10-28,Aves,Neognathae,Trogoniformes,Trogonidae,Apaloderma
Aptenodytes_forsteri,Aptenodytes forsteri,bgi_2011-10-28,Aves,Neognathae,Sphenisciformes,Spheniscidae,Aptenodytes
Apteryx_australis_mantelli,Apteryx australis mantelli,AptMant0,Aves,Palaeognathae,Apterygiformes,Apterygidae,Apteryx
Astyanax_mexicanus,Astyanax mexicanus,ensembl_79_AstMex102,Actinopteri,Characiphysae,Characiformes,Characidae,Astyanax
Austrofundulus_limnaeus,Austrofundulus limnaeus,1,Actinopteri,Atherinomorphae,Cyprinodontiformes,Unclassified,Austrofundulus
Balaenoptera_acutorostrata,Balaenoptera acutorostrata,goldenpath_balAcu1,Mammalia,Laurasiatheria,Cetacea,Balaenopteridae,Balaenoptera
Balearica_regulorum,Balearica regulorum,bgi_2011-10-28,Aves,Neognathae,Gruiformes,Gruidae,Balearica
Bison_bison,Bison bison,ncbi_UMD1_2015-05-14,Mammalia,Laurasiatheria,Unclassified,Bovidae,Bison
Bos_grunniens,Bos grunniens,bbu_UMD_2015-05-14,Mammalia,Laurasiatheria,Unclassified,Bovidae,Bos
Bos_taurus,Bos taurus,goldenpath_bosTau7,Mammalia,Laurasiatheria,Unclassified,Bovidae,Bos
Bubalus_bubalis,Bubalus bubalis,ncbi_100_2015-05-14,Mammalia,Laurasiatheria,Unclassified,Bovidae,Bubalus
Buceros_rhinoceros,Buceros rhinoceros,bgi_2011-10-28,Aves,Neognathae,Bucerotiformes,Bucerotidae,Buceros
Calidris_pugnax,Calidris pugnax,ASM143184v1,Aves,Neognathae,Charadriiformes,Scolopacidae,Calidris
Callithrix_jacchus,Callithrix jacchus,goldenpath_calJac3,Mammalia,Euarchontoglires,Primates,Cebidae,Callithrix
Callorhinchus_milii,Callorhinchus milii,goldenpath_calMil1_2013-12,Chondrichthyes,Unclassified,Chimaeriformes,Callorhinchidae,Callorhinchus
Calypte_anna,Calypte anna,bgi_2011-10-28,Aves,Neognathae,Trochiliformes,Trochilidae,Calypte
Camelus_ferus,Camelus ferus,bacsac_1.0_april_2013,Mammalia,Laurasiatheria,Unclassified,Camelidae,Camelus
Canis_familiaris,Canis familiaris,goldenpath_canFam3,Mammalia,Laurasiatheria,Carnivora,Canidae,Canis
Capra_hircus,Capra hircus,iggc_1.0_april_2013,Mammalia,Laurasiatheria,Unclassified,Bovidae,Capra
Cariama_cristata,Cariama cristata,bgi_2011-10-28,Aves,Neognathae,Gruiformes,Cariamidae,Cariama
Cathartes_aura,Cathartes aura,bgi_2011-10-28,Aves,Neognathae,Ciconiiformes,Cathartidae,Cathartes
Cavia_porcellus,Cavia porcellus,goldenpath_cavPor3,Mammalia,Euarchontoglires,Rodentia,Caviidae,Cavia
Ceratotherium_simum,Ceratotherium simum,goldenpath_cerSim1,Mammalia,Laurasiatheria,Perissodactyla,Rhinocerotidae,Ceratotherium
Cercocebus_atys,Cercocebus atys,ncbi_100_2015,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Cercocebus
Chaetura_pelagica,Chaetura pelagica,bgi_2011-10-28,Aves,Neognathae,Apodiformes,Apodidae,Chaetura
Charadrius_vociferus,Charadrius vociferus,bgi_2011-10-28,Aves,Neognathae,Charadriiformes,Charadriidae,Charadrius
Chelonia_mydas,Chelonia mydas,CheMyd_1.0,Unclassified,Unclassified,Testudines,Cheloniidae,Chelonia
Chinchilla_lanigera,Chinchilla lanigera,broad_v0_2012,Mammalia,Euarchontoglires,Rodentia,Chinchillidae,Chinchilla
Chlamydotis_undulata,Chlamydotis undulata,bgi_2011-10-28,Aves,Neognathae,Gruiformes,Otididae,Chlamydotis
Chlorocebus_sabaeus,Chlorocebus sabaeus,ensembl_79_ChlSab1.1,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Chlorocebus
Choloepus_hoffmanni,Choloepus hoffmanni,goldenpath_choHof1,Mammalia,Xenarthra,Pilosa,Megalonychidae,Choloepus
