sequenceID	locus_name	locus_numeric_id	host_species	empty_site	host_class	host_superorder	host_order	host_family	host_genus
KX239848	dependo.0-macropus	0	Aepyprymnus rufescens	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Aepyprymnus
KX239849	dependo.0-macropus	0	Dendrolagus goodfellowi	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Dendrolagus
KX239850	dependo.0-macropus	0	Dendrolagus matschiei	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Dendrolagus
KX239851	dependo.0-macropus	0	Hypsiprymnodon moschatus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Hypsiprymnodon
KX239852	dependo.0-macropus	0	Hypsiprymnodon moschatus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Hypsiprymnodon
KX239853	dependo.0-macropus	0	Lagorchestes conspicillatus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Lagorchestes
KX239854	dependo.0-macropus	0	Lagostrophus fasciatus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Lagostrophus
KX239855	dependo.0-macropus	0	Macropus giganteus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239856	dependo.0-macropus	0	Macropus parma	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239857	dependo.0-macropus	0	Macropus robustus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239858	dependo.0-macropus	0	Macropus rufogriseus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239859	dependo.0-macropus	0	Macropus rufus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239860	dependo.0-macropus	0	Onychogalea unguifera	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Onychogalea
KX239861	dependo.0-macropus	0	Petrogale lateralis	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Petrogale
KX239862	dependo.0-macropus	0	Potorous tridactylus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Potorous
KX239863	dependo.0-macropus	0	Potorous tridactylus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Potorous
KX239864	dependo.0-macropus	0	Setonix brachyurus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Setonix
KX239865	dependo.0-macropus	0	Thylogale stigmatica	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Thylogale
KX239866	dependo.0-macropus	0	Didelphis virginiana	yes	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Didelphis
KX239867	dependo.0-macropus	0	Lasiorhinus latifrons	yes	Mammalia	Unclassified	Diprotodontia	Vombatidae	Lasiorhinus
KX239868	dependo.0-macropus	0	Petaurus breviceps	yes	Mammalia	Unclassified	Diprotodontia	Petauridae	Petaurus
KX239869	dependo.0-macropus	0	Phascolarctos cinereus	yes	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos
KX239870	dependo.0-macropus	0	Pseudocheirus peregrinus	yes	Mammalia	Unclassified	Diprotodontia	Pseudocheiridae	Pseudocheirus
KX239871	dependo.0-macropus	0	Spilocuscus maculatus	yes	Mammalia	Unclassified	Diprotodontia	Phalangeridae	Spilocuscus
KX239872	dependo.0-macropus	0	Trichosurus vulpecula	yes	Mammalia	Unclassified	Diprotodontia	Phalangeridae	Trichosurus
MN782247	dependo.1-whippomorpha	1	Balaena mysticetus	no	Mammalia	Laurasiatheria	Cetacea	Balaenidae	Balaena
MN782248	dependo.1-whippomorpha	1	Balaenoptera acutorostrata	no	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
MN782249	dependo.1-whippomorpha	1	Balaenoptera physalus	no	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
MN782250	dependo.1-whippomorpha	1	Delphinapterus leucas	no	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Delphinapterus
MN782251	dependo.1-whippomorpha	1	Delphinus capensis	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Delphinus
MN782252	dependo.1-whippomorpha	1	Delphinus delphis	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Delphinus
MN782253	dependo.1-whippomorpha	1	Eschrichtius robustus	no	Mammalia	Laurasiatheria	Cetacea	Eschrichtiidae	Eschrichtius
MN782254	dependo.1-whippomorpha	1	Lagenorhynchus obliquidens	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Lagenorhynchus
MN782255	dependo.1-whippomorpha	1	Lissodelphis borealis	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Lissodelphis
MN782256	dependo.1-whippomorpha	1	Megaptera novaeangliae	no	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Megaptera
MN782257	dependo.1-whippomorpha	1	Mesoplodon stejnegeri	no	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon
MN782258	dependo.1-whippomorpha	1	Orcinus orca	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Orcinus
MN782259	dependo.1-whippomorpha	1	Phocoena phocoena	no	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoena
MN782260	dependo.1-whippomorpha	1	Phocoenoides dalli	no	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoenoides
MN782261	dependo.1-whippomorpha	1	Stenella coeruleoalba	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Stenella
MN782262	dependo.1-whippomorpha	1	Ziphius cavirostris	no	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Ziphius
MN782263	dependo.3-lagomorpha	3	Brachylagus idahoensis	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Brachylagus
MN782264	dependo.3-lagomorpha	3	Lepus americanus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
MN782265	dependo.3-lagomorpha	3	Lepus californicus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
MN782266	dependo.3-lagomorpha	3	Lepus europaeus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
MN782267	dependo.3-lagomorpha	3	Oryctolagus cuniculus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus
MN782268	dependo.3-lagomorpha	3	Sylvilagus audubonii	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Sylvilagus
MN782269	dependo.3-lagomorpha	3	Sylvilagus floridanus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Sylvilagus
MN782270	dependo.2-vespertilionidae	2	Eptesicus andinus	no	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus
MN782271	dependo.2-vespertilionidae	2	Lasionycteris noctivagans	no	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Lasionycteris
MN782272	dependo.2-vespertilionidae	2	Plecotus ognevi	no	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Plecotus
