sequenceID	locus_name	locus_numeric_id	stem	host_species	sequence_length	Record_ID	host_class	host_superorder	host_order	host_family	host_genus	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure
proto.1-Rattus_norvegicus	proto.1-RatNor	1	proto.1	Rattus_norvegicus	3469	142	Mammalia	Euarchontoglires	Rodentia	Muridae	Rattus	complete	goldenpath_rn6	rn6.fa_4.fa	chr5	-	68316098	68319566	translated-genome	425	864	857	2176	440	889	99.318	0	1	0	0	NS[proto.1-Rattus_norvegicus(+)]-VP[proto.1-Rattus_norvegicus(-)]-NK[proto.XX-Rattus_norvegicus(-)]
proto.2-Mus_spretus	proto.2-MusSpr	2	proto.2	Mus_spretus	2968	101	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	low_coverage	SPRET_EiJ_v1	GCA_001624865.1_SPRET_EiJ_v1_genomic.fa	CM004109.1	-	92706775	92709742	translated-genome	529	983	1601	2965	455	942	100	0	1	0	0	VP[proto.2-Mus_spretus(-)]-VP[proto.2-Mus_spretus(-)]-NS[proto.2-Mus_spretus(-)]
proto.3-Apodemus_sylvaticus	proto.3-Apodemus	3	proto.3	Apodemus_sylvaticus	4405	33	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus	low_coverage	GCA_001305905.1	GCA_001305905.1_ASM130590v1_genomic.fa	LIPJ01000560.1	-	36780	41184	translated-genome	811	1374	2564	4405	614	1134	91.205	0	1	1	0	VP[proto.3-Apodemus(-)]-NS[proto.3-Apodemus(-)]
proto.4-Mus_spicilegus	proto.4-MusSpi	4	proto.4	Mus_spicilegus	3460	100	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	low_coverage	GCA_003336285.1_MUSP714	GCA_003336285.1_MUSP714_genomic.fna	QGOO01000499.1	-	393893	397352	translated-genome	445	1163	1304	3460	719	1311	99.722	0	1	0	0	VP[proto.4-Mus_spicelagus(-)]-NS[proto.4-Mus_spicelagus(-)]
proto.5-Graphiurus_murinus	proto.5-GraMur	5	proto.5	Graphiurus_murinus	222	52	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	low_coverage	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010185713.1	-	709	930	translated-genome	171	223	1	159	53	101	88.679	1.08	28	0	0	NS[REF_Proto_MVM1(-)]
proto.101-Monodelphis_domestica	proto.101-MonDom	101	proto.101	Monodelphis_domestica	2122	5	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	complete	goldenpath_monDom5	chr8.fa	chr8	+	230394727	230396848	translated-genome	656	1156	551	2062	507	700	70.414	0	1	5	0	VP[proto.101-Monodelphis(+)]-VP[proto.101-Monodelphis(+)]
proto.102-Tamandua_tetradactyla	proto.102-Tamandua	102	proto.102	Tamandua_tetradactyla	3876	265	Mammalia	Xenarthra	Pilosa	Myrmecophagidae	Tamandua	low_coverage	TamTet_v1	GCA_004025105.1_TamTet_v1_BIUU_genomic.fna	PVIF010024111.1	+	5491	9366	translated-genome	1	1268	61	3870	1284	2386	93.925	0	1	4	0	NS[proto.102-Tamandua(+)]-VP[proto.102-Tamandua(+)]
proto.103-Monodelphis_domestica	proto.103-MonDom	103	proto.103	Monodelphis_domestica	5080	5	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	complete	goldenpath_monDom5	chr6.fa	chr6	+	48166605	48171684	translated-genome	741	1156	3779	5020	416	626	72.596	0	1	2	0	NS[proto.121-Cavia(+)]-NS[proto.108-Dinomys(+)]-VP[proto.101-Monodelphis(+)]-VP[proto.101-Monodelphis(+)]
proto.104-Monodelphis_domestica	proto.104-MonDom	104	proto.104	Monodelphis_domestica	490	5	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	complete	goldenpath_monDom5	chr8.fa	chr8	+	230387503	230387992	translated-genome	284	365	55	300	82	130	79.268	4.02	52	0	0	NS[proto.101-Monodelphis(+)]
proto.106-Myocastor_coypus	proto.106-MyoCoy	106	proto.106	Myocastor_coypus	3993	26	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010008974.1	-	44073	48065	translated-genome	545	1061	2395	3972	526	858	80.608	0	1	4	0	VP[proto.107-Hydrochoerus(-)]-NS[proto.108-Dinomys(-)]
