sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure	sequence_length	virus_genus
parvovirinae.94-eHV.carlito	parvovirinae.500-eHV.Carlito	500	parvovirinae.500	Tarsius_syrichta	Mammalia	Euarchontoglires	Primates	Tarsiidae	Tarsius	Tarsius_syrichta	complete	goldenpath_tarSyr1	tarSyr1.fa_5.fa	scaffold_178296	-	925	1968	Rep	1	175	1	525	175	314	98.286	9.59	105	0	0	NS[parvovirinae.500-eHV.carlito(-)]	1044	Dependoparvovirus
parvovirinae.94-eHV.mustela	parvovirinae.500-eHV.mustela	500	parvovirinae.500	Mustela_erminea	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Mustela	Mustela_erminea	low_coverage	mMusErm1	GCA_009829165.1_mMusErm1.alt_genomic.fna	WNLZ01003145.1	-	69181	70593	Rep	1	450	1	1350	450	892	100	0	1	0	0	NS[parvovirinae.500-eHV.mustela(-)]	1413	Dependoparvovirus
parvovirinae.7-Bradypus_variegatus	parvovirinae.7-bradypus	7	parvovirinae.7	Bradypus_variegatus	Mammalia	Xenarthra	Pilosa	Bradypodidae	Bradypus	Bradypus_variegatus	low_coverage	BraVar_v1_BIUU	GCA_004027775.1_BraVar_v1_BIUU_genomic.fna	PVKY010006380.1	+	5435	6391	Rep	1	178	361	897	179	365	99.441	4.09	131	1	0	957	Dependoparvovirus	NS[parvovirinae.7-bradypus(+)]
parvovirinae.20-Equus_asinus_somalicus	parvovirinae.20-laurasiatheria	20	parvovirinae.20	Equus_asinus_somalicus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_asinus_somalicus	low_coverage	Henan_21MAR2017	Equus_asinus_somalicus.cns.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	237	Dependoparvovirus	NS[parvovirinae.20-laurasiatheria(-)]
parvovirinae.20-Equus_africanus_asinus	parvovirinae.20-laurasiatheria	20	parvovirinae.20	Equus_africanus_asinus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_africanus_asinus	low_coverage	willy_denovo	Donkey.scafSequence.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	237	Dependoparvovirus	NS[parvovirinae.20-laurasiatheria(-)]
parvovirinae.20-Equus_hemionus	parvovirinae.20-laurasiatheria	20	parvovirinae.20	Equus_hemionus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_hemionus	low_coverage	Henan_21MAR2017	Equus_hemionus.cns.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	237	Dependoparvovirus	NS[parvovirinae.20-laurasiatheria(-)]
parvovirinae.20-Equus_kiang	parvovirinae.20-laurasiatheria	20	parvovirinae.20	Equus_kiang	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_kiang	low_coverage	Henan_21MAR2017	Equus_kiang.cns.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	237	Dependoparvovirus	NS[parvovirinae.20-laurasiatheria(-)]
parvovirinae.20-Equus_burchellii_boehmi	parvovirinae.20-laurasiatheria	20	parvovirinae.20	Equus_burchellii_boehmi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_burchellii_boehmi	low_coverage	Henan_16MAR2017	Equus_burchellii_boehmi.cns.fa	chr8	-	1277542	1277778	Rep	1	77	4	234	77	159	100	6.3	55	0	0	237	Dependoparvovirus	NS[parvovirinae.20-laurasiatheria(-)]
parvovirinae.20-Equus_grevyi	parvovirinae.20-laurasiatheria	20	parvovirinae.20	Equus_grevyi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_grevyi	low_coverage	Henan_16MAR2017	Equus_grevyi.cns.fa	chr8	-	1277542	1277778	Rep	1	77	4	234	77	159	100	6.3	55	0	0	237	Dependoparvovirus	NS[parvovirinae.20-laurasiatheria(-)]
parvovirinae.20-Equus_zebra_hartmannae	parvovirinae.20-laurasiatheria	20	parvovirinae.20	Equus_zebra_hartmannae	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_zebra_hartmannae	low_coverage	Henan_16MAR2017	Equus_zebra_hartmannae.cns.fa	chr8	-	1277542	1277778	Rep	1	77	4	234	77	156	98.701	7.06	54	0	0	237	Dependoparvovirus	NS[parvovirinae.20-laurasiatheria(-)]
